Device Address,Exercise,Timestamp,Thumb,Index,Middle,Ring,Acc(x),Acc(y),Acc(z),Gyr(x),Gyr(y),Gyr(z)
D4:72:11:8B:5A:4D,Flex + IMU,47728,146,105,0,77,75,252,88,37,95,39
D4:72:11:8B:5A:4D,Flex + IMU,47736,146,105,0,77,70,252,94,122,232,34
D4:72:11:8B:5A:4D,Flex + IMU,47776,146,105,0,77,36,19,102,157,14,23
D4:72:11:8B:5A:4D,Flex + IMU,47784,146,105,0,77,40,19,91,228,3,6
D4:72:11:8B:5A:4D,Flex + IMU,47832,146,105,0,77,41,30,94,236,102,174
D4:72:11:8B:5A:4D,Flex + IMU,47840,146,105,0,77,44,30,92,31,112,192
D4:72:11:8B:5A:4D,Flex + IMU,47880,146,105,0,77,26,22,89,86,167,70
D4:72:11:8B:5A:4D,Flex + IMU,47888,146,105,0,77,15,21,89,216,105,48
D4:72:11:8B:5A:4D,Flex + IMU,47928,145,105,0,77,15,22,78,184,98,172
D4:72:11:8B:5A:4D,Flex + IMU,47936,145,105,0,77,26,22,79,153,104,172
D4:72:11:8B:5A:4D,Flex + IMU,47976,144,104,0,77,42,34,42,50,133,173
D4:72:11:8B:5A:4D,Flex + IMU,47984,144,104,0,77,33,43,28,181,82,118
D4:72:11:8B:5A:4D,Flex + IMU,48024,143,104,0,76,6,57,27,63,90,3
D4:72:11:8B:5A:4D,Flex + IMU,48032,143,104,0,76,0,46,36,63,90,249
D4:72:11:8B:5A:4D,Flex + IMU,48072,142,103,0,76,252,55,50,85,14,42
D4:72:11:8B:5A:4D,Flex + IMU,48080,142,103,0,76,246,67,43,223,232,107
D4:72:11:8B:5A:4D,Flex + IMU,48120,142,103,0,76,242,84,53,207,199,231
D4:72:11:8B:5A:4D,Flex + IMU,48128,142,103,0,76,242,84,54,75,199,229
D4:72:11:8B:5A:4D,Flex + IMU,48168,142,103,0,76,231,62,65,15,177,131
D4:72:11:8B:5A:4D,Flex + IMU,48176,141,103,0,76,230,54,64,6,29,124
D4:72:11:8B:5A:4D,Flex + IMU,48216,141,103,0,76,250,73,69,157,70,146
D4:72:11:8B:5A:4D,Flex + IMU,48224,141,103,0,76,251,73,72,223,77,153
D4:72:11:8B:5A:4D,Flex + IMU,48264,141,103,0,75,244,83,75,158,232,111
D4:72:11:8B:5A:4D,Flex + IMU,48272,141,103,0,75,240,76,85,209,181,93
D4:72:11:8B:5A:4D,Flex + IMU,48320,141,103,0,75,254,129,40,115,252,218
D4:72:11:8B:5A:4D,Flex + IMU,48328,141,103,0,75,3,108,26,118,99,170
D4:72:11:8B:5A:4D,Flex + IMU,48368,141,102,0,75,231,30,67,186,74,76
D4:72:11:8B:5A:4D,Flex + IMU,48376,141,102,0,75,220,75,69,14,102,229
D4:72:11:8B:5A:4D,Flex + IMU,48416,141,102,0,75,233,136,50,166,235,229
D4:72:11:8B:5A:4D,Flex + IMU,48464,140,102,0,74,227,142,43,66,62,221
D4:72:11:8B:5A:4D,Flex + IMU,48472,140,102,0,74,206,132,63,78,213,214
D4:72:11:8B:5A:4D,Flex + IMU,48512,140,101,0,74,186,145,43,146,89,1
D4:72:11:8B:5A:4D,Flex + IMU,48520,140,101,0,74,191,153,51,187,145,225
D4:72:11:8B:5A:4D,Flex + IMU,48560,140,101,0,73,200,157,45,92,181,64
D4:72:11:8B:5A:4D,Flex + IMU,48568,140,101,0,73,201,148,53,71,156,64
D4:72:11:8B:5A:4D,Flex + IMU,48608,140,100,0,72,148,173,20,231,52,27
D4:72:11:8B:5A:4D,Flex + IMU,48616,139,100,0,72,126,169,28,148,130,49
D4:72:11:8B:5A:4D,Flex + IMU,48656,139,99,0,71,99,167,39,156,244,240
D4:72:11:8B:5A:4D,Flex + IMU,48664,139,99,0,71,98,167,39,156,211,175
D4:72:11:8B:5A:4D,Flex + IMU,48704,138,98,0,70,108,183,251,28,190,77
D4:72:11:8B:5A:4D,Flex + IMU,48712,138,98,0,70,110,193,244,74,119,3
D4:72:11:8B:5A:4D,Flex + IMU,48752,138,96,0,68,103,118,9,1,161,175
D4:72:11:8B:5A:4D,Flex + IMU,48760,137,96,0,68,103,126,250,224,26,33
D4:72:11:8B:5A:4D,Flex + IMU,48800,137,96,0,68,83,143,6,22,90,20
D4:72:11:8B:5A:4D,Flex + IMU,48808,137,96,0,68,73,145,18,109,64,81
D4:72:11:8B:5A:4D,Flex + IMU,48856,137,96,0,67,92,133,9,18,186,153
D4:72:11:8B:5A:4D,Flex + IMU,48864,137,96,0,67,104,134,6,99,215,3
D4:72:11:8B:5A:4D,Flex + IMU,48904,138,96,0,67,68,149,0,142,231,89
D4:72:11:8B:5A:4D,Flex + IMU,48912,138,96,0,67,53,152,13,212,23,17
D4:72:11:8B:5A:4D,Flex + IMU,48952,139,96,0,68,41,80,71,137,51,72
D4:72:11:8B:5A:4D,Flex + IMU,48960,139,97,0,68,72,106,40,31,14,144
D4:72:11:8B:5A:4D,Flex + IMU,49000,140,97,0,68,115,133,26,238,157,240
D4:72:11:8B:5A:4D,Flex + IMU,49008,140,97,0,68,95,174,24,49,124,64
D4:72:11:8B:5A:4D,Flex + IMU,49048,141,97,0,68,98,72,59,75,216,56
D4:72:11:8B:5A:4D,Flex + IMU,49056,141,98,0,68,112,87,53,16,37,235
D4:72:11:8B:5A:4D,Flex + IMU,49096,142,98,0,69,90,131,33,172,106,240
D4:72:11:8B:5A:4D,Flex + IMU,49104,142,98,0,69,74,112,51,205,207,249
D4:72:11:8B:5A:4D,Flex + IMU,49144,142,99,0,69,126,102,29,60,9,172
D4:72:11:8B:5A:4D,Flex + IMU,49152,142,99,0,69,105,95,30,101,242,160
D4:72:11:8B:5A:4D,Flex + IMU,49192,143,100,0,69,75,97,108,152,122,12
D4:72:11:8B:5A:4D,Flex + IMU,49200,143,100,0,69,98,102,111,152,122,12
D4:72:11:8B:5A:4D,Flex + IMU,49240,144,102,0,70,245,180,64,89,50,8
D4:72:11:8B:5A:4D,Flex + IMU,49248,144,102,0,70,6,214,69,86,1,101
D4:72:11:8B:5A:4D,Flex + IMU,49288,144,104,0,71,114,108,88,211,196,86
D4:72:11:8B:5A:4D,Flex + IMU,49296,144,104,0,71,114,108,88,210,241,43
D4:72:11:8B:5A:4D,Flex + IMU,49344,144,105,0,72,129,47,78,109,133,96
D4:72:11:8B:5A:4D,Flex + IMU,49352,144,105,0,72,133,58,65,241,124,253
D4:72:11:8B:5A:4D,Flex + IMU,49392,145,105,0,72,134,49,66,196,6,181
D4:72:11:8B:5A:4D,Flex + IMU,49400,145,105,0,73,134,49,66,180,207,195
D4:72:11:8B:5A:4D,Flex + IMU,49440,145,106,0,73,148,63,38,119,169,92
D4:72:11:8B:5A:4D,Flex + IMU,49448,145,106,0,73,143,59,41,58,153,28
D4:72:11:8B:5A:4D,Flex + IMU,49488,145,106,0,73,157,15,70,92,18,94
D4:72:11:8B:5A:4D,Flex + IMU,49496,145,106,0,74,171,7,79,193,36,20
D4:72:11:8B:5A:4D,Flex + IMU,49536,145,106,0,74,151,25,84,116,140,70
D4:72:11:8B:5A:4D,Flex + IMU,49544,145,106,0,74,156,33,79,175,14,20
