Device Address,Exercise,Timestamp,Thumb,Index,Middle,Ring,Acc(x),Acc(y),Acc(z),Gyr(x),Gyr(y),Gyr(z)
EA:EB:C9:B6:1F:5A,Flex + IMU,34192,93,82,0,160,251,134,216,220,195,130
EA:EB:C9:B6:1F:5A,Flex + IMU,34200,93,82,0,160,252,148,205,107,254,107
EA:EB:C9:B6:1F:5A,Flex + IMU,34240,93,82,0,160,11,152,191,140,217,176
EA:EB:C9:B6:1F:5A,Flex + IMU,34248,93,82,0,160,20,160,191,140,217,185
EA:EB:C9:B6:1F:5A,Flex + IMU,34288,93,82,0,160,8,169,201,86,81,228
EA:EB:C9:B6:1F:5A,Flex + IMU,34296,93,82,0,160,17,173,185,73,233,39
EA:EB:C9:B6:1F:5A,Flex + IMU,34336,93,82,0,160,21,169,176,11,140,150
EA:EB:C9:B6:1F:5A,Flex + IMU,34344,93,82,0,160,21,169,186,25,89,161
EA:EB:C9:B6:1F:5A,Flex + IMU,34384,93,82,0,160,25,166,182,179,107,61
EA:EB:C9:B6:1F:5A,Flex + IMU,34392,92,82,0,160,40,174,170,187,113,83
EA:EB:C9:B6:1F:5A,Flex + IMU,34440,92,82,0,160,17,157,187,164,94,76
EA:EB:C9:B6:1F:5A,Flex + IMU,34448,92,82,0,160,29,146,190,161,124,20
EA:EB:C9:B6:1F:5A,Flex + IMU,34488,92,82,0,160,22,146,185,164,127,52
EA:EB:C9:B6:1F:5A,Flex + IMU,34496,92,82,0,160,19,155,190,159,89,68
EA:EB:C9:B6:1F:5A,Flex + IMU,34536,92,82,0,160,45,122,190,82,88,73
EA:EB:C9:B6:1F:5A,Flex + IMU,34584,92,82,0,160,12,107,214,65,108,167
EA:EB:C9:B6:1F:5A,Flex + IMU,34592,93,82,0,160,28,112,208,238,9,149
EA:EB:C9:B6:1F:5A,Flex + IMU,34632,93,82,0,160,27,102,227,158,138,119
EA:EB:C9:B6:1F:5A,Flex + IMU,34640,93,82,0,160,34,97,229,21,167,189
EA:EB:C9:B6:1F:5A,Flex + IMU,34680,93,82,0,160,26,95,6,47,19,36
EA:EB:C9:B6:1F:5A,Flex + IMU,34688,93,82,0,160,4,107,250,164,61,163
EA:EB:C9:B6:1F:5A,Flex + IMU,34728,93,83,0,160,205,203,49,86,209,119
EA:EB:C9:B6:1F:5A,Flex + IMU,34736,94,83,0,160,128,182,89,130,176,148
EA:EB:C9:B6:1F:5A,Flex + IMU,34776,96,84,0,160,152,171,70,45,15,109
EA:EB:C9:B6:1F:5A,Flex + IMU,34784,96,85,0,160,169,28,13,45,15,109
EA:EB:C9:B6:1F:5A,Flex + IMU,34824,98,87,0,160,42,212,235,100,41,148
EA:EB:C9:B6:1F:5A,Flex + IMU,34832,98,87,0,160,25,233,221,171,87,194
EA:EB:C9:B6:1F:5A,Flex + IMU,34872,98,89,0,160,15,113,199,5,241,11
EA:EB:C9:B6:1F:5A,Flex + IMU,34880,99,89,0,160,15,113,199,96,5,181
EA:EB:C9:B6:1F:5A,Flex + IMU,34920,99,90,0,160,12,137,208,151,221,154
EA:EB:C9:B6:1F:5A,Flex + IMU,34928,99,90,0,160,227,108,241,233,231,3
EA:EB:C9:B6:1F:5A,Flex + IMU,34976,100,91,0,160,15,106,128,125,44,51
EA:EB:C9:B6:1F:5A,Flex + IMU,34984,100,91,0,160,15,106,128,123,143,211
EA:EB:C9:B6:1F:5A,Flex + IMU,35024,100,91,0,160,244,114,133,101,93,230
EA:EB:C9:B6:1F:5A,Flex + IMU,35032,100,91,0,160,233,121,141,20,192,24
EA:EB:C9:B6:1F:5A,Flex + IMU,35072,100,92,0,160,215,154,110,117,14,73
EA:EB:C9:B6:1F:5A,Flex + IMU,35080,100,92,0,160,212,114,146,26,226,174
EA:EB:C9:B6:1F:5A,Flex + IMU,35120,101,92,0,160,231,231,168,64,248,70
EA:EB:C9:B6:1F:5A,Flex + IMU,35128,101,92,0,160,30,34,101,49,19,130
EA:EB:C9:B6:1F:5A,Flex + IMU,35168,99,86,0,160,176,152,151,148,153,232
EA:EB:C9:B6:1F:5A,Flex + IMU,35176,99,84,0,160,143,0,67,136,213,58
EA:EB:C9:B6:1F:5A,Flex + IMU,35216,95,71,0,160,129,132,175,127,9,9
EA:EB:C9:B6:1F:5A,Flex + IMU,35224,95,70,0,160,27,118,214,90,208,20
EA:EB:C9:B6:1F:5A,Flex + IMU,35264,95,68,0,160,187,106,24,26,200,227
EA:EB:C9:B6:1F:5A,Flex + IMU,35272,95,67,0,160,230,148,4,3,79,252
EA:EB:C9:B6:1F:5A,Flex + IMU,35312,95,67,0,160,63,205,55,79,111,120
EA:EB:C9:B6:1F:5A,Flex + IMU,35320,95,67,0,160,36,194,60,60,111,120
EA:EB:C9:B6:1F:5A,Flex + IMU,35360,97,68,0,160,180,85,104,114,63,23
EA:EB:C9:B6:1F:5A,Flex + IMU,35368,97,69,0,160,178,97,110,255,162,137
EA:EB:C9:B6:1F:5A,Flex + IMU,35408,97,72,0,160,40,131,220,67,146,78
EA:EB:C9:B6:1F:5A,Flex + IMU,35416,98,73,0,160,191,51,220,67,146,7
EA:EB:C9:B6:1F:5A,Flex + IMU,35456,100,80,0,160,34,188,200,152,230,79
EA:EB:C9:B6:1F:5A,Flex + IMU,35464,101,81,0,160,74,71,77,16,8,86
EA:EB:C9:B6:1F:5A,Flex + IMU,35512,101,86,0,160,152,38,165,19,134,109
EA:EB:C9:B6:1F:5A,Flex + IMU,35520,101,87,0,160,226,9,165,19,135,120
EA:EB:C9:B6:1F:5A,Flex + IMU,35560,101,89,0,160,4,223,248,154,109,121
EA:EB:C9:B6:1F:5A,Flex + IMU,35568,102,89,0,160,212,13,3,90,253,113
EA:EB:C9:B6:1F:5A,Flex + IMU,35608,102,90,0,160,1,41,175,218,103,102
EA:EB:C9:B6:1F:5A,Flex + IMU,35616,102,90,0,160,1,29,176,32,71,21
