Device Address,Exercise,Timestamp,Thumb,Index,Middle,Ring,Acc(x),Acc(y),Acc(z),Gyr(x),Gyr(y),Gyr(z)
EA:EB:C9:B6:1F:5A,Flex + IMU,58272,90,78,0,158,108,196,180,29,84,210
EA:EB:C9:B6:1F:5A,Flex + IMU,58280,90,79,0,158,116,141,161,10,150,36
EA:EB:C9:B6:1F:5A,Flex + IMU,58328,91,79,0,159,137,4,13,167,138,155
EA:EB:C9:B6:1F:5A,Flex + IMU,58336,91,79,0,159,95,234,55,211,138,155
EA:EB:C9:B6:1F:5A,Flex + IMU,58376,91,79,0,159,41,193,117,207,47,104
EA:EB:C9:B6:1F:5A,Flex + IMU,58384,91,79,0,159,32,202,110,64,179,103
EA:EB:C9:B6:1F:5A,Flex + IMU,58424,91,80,0,159,92,19,28,237,173,206
EA:EB:C9:B6:1F:5A,Flex + IMU,58432,91,80,0,159,92,19,28,209,49,40
EA:EB:C9:B6:1F:5A,Flex + IMU,58472,91,80,0,159,115,15,40,204,16,106
EA:EB:C9:B6:1F:5A,Flex + IMU,58480,91,80,0,159,111,12,62,140,68,159
EA:EB:C9:B6:1F:5A,Flex + IMU,58520,91,80,0,159,73,12,44,225,97,199
EA:EB:C9:B6:1F:5A,Flex + IMU,58528,91,80,0,159,67,238,27,181,174,202
EA:EB:C9:B6:1F:5A,Flex + IMU,58568,91,80,0,159,63,239,21,176,218,134
EA:EB:C9:B6:1F:5A,Flex + IMU,58576,91,80,0,159,65,228,16,147,3,183
EA:EB:C9:B6:1F:5A,Flex + IMU,58616,91,80,0,159,73,15,213,157,144,114
EA:EB:C9:B6:1F:5A,Flex + IMU,58624,91,80,0,159,91,244,195,19,104,33
EA:EB:C9:B6:1F:5A,Flex + IMU,58664,90,70,0,151,79,161,163,201,71,225
EA:EB:C9:B6:1F:5A,Flex + IMU,58672,90,66,0,148,60,134,193,72,216,218
EA:EB:C9:B6:1F:5A,Flex + IMU,58712,84,46,0,133,46,222,119,86,10,45
EA:EB:C9:B6:1F:5A,Flex + IMU,58720,82,44,0,132,142,197,224,235,154,208
EA:EB:C9:B6:1F:5A,Flex + IMU,58760,62,43,0,130,50,160,69,86,6,110
EA:EB:C9:B6:1F:5A,Flex + IMU,58768,60,43,0,130,33,26,53,225,6,110
EA:EB:C9:B6:1F:5A,Flex + IMU,58808,54,45,0,130,239,223,189,48,14,22
EA:EB:C9:B6:1F:5A,Flex + IMU,58816,53,45,0,130,98,211,130,141,154,188
EA:EB:C9:B6:1F:5A,Flex + IMU,58864,52,46,0,131,244,224,101,41,21,237
EA:EB:C9:B6:1F:5A,Flex + IMU,58872,52,47,0,131,125,162,177,117,221,68
EA:EB:C9:B6:1F:5A,Flex + IMU,58912,55,47,0,131,5,255,224,172,142,142
EA:EB:C9:B6:1F:5A,Flex + IMU,58920,55,47,0,131,185,8,216,188,202,143
EA:EB:C9:B6:1F:5A,Flex + IMU,58960,64,47,0,132,153,138,184,146,225,120
EA:EB:C9:B6:1F:5A,Flex + IMU,58968,67,46,0,132,215,21,183,146,225,32
EA:EB:C9:B6:1F:5A,Flex + IMU,59008,78,62,0,154,143,23,69,129,251,67
EA:EB:C9:B6:1F:5A,Flex + IMU,59016,81,68,0,156,117,36,103,120,251,243
EA:EB:C9:B6:1F:5A,Flex + IMU,59056,93,81,0,159,215,112,107,238,234,248
EA:EB:C9:B6:1F:5A,Flex + IMU,59064,94,82,0,159,215,112,73,79,209,71
EA:EB:C9:B6:1F:5A,Flex + IMU,59104,95,84,0,159,47,108,90,172,34,210
EA:EB:C9:B6:1F:5A,Flex + IMU,59112,95,85,0,159,95,49,241,181,238,206
EA:EB:C9:B6:1F:5A,Flex + IMU,59152,95,85,0,159,96,238,94,135,223,177
EA:EB:C9:B6:1F:5A,Flex + IMU,59160,95,86,0,159,170,174,62,93,122,108
EA:EB:C9:B6:1F:5A,Flex + IMU,59200,96,86,0,160,33,124,67,241,193,11
EA:EB:C9:B6:1F:5A,Flex + IMU,59208,96,86,0,160,45,78,71,111,203,139
EA:EB:C9:B6:1F:5A,Flex + IMU,59248,96,86,0,160,229,226,88,62,136,255
EA:EB:C9:B6:1F:5A,Flex + IMU,59256,96,86,0,160,228,209,67,18,67,170
EA:EB:C9:B6:1F:5A,Flex + IMU,59296,96,81,0,159,207,113,47,42,194,39
EA:EB:C9:B6:1F:5A,Flex + IMU,59304,96,78,0,154,226,11,229,208,206,37
EA:EB:C9:B6:1F:5A,Flex + IMU,59352,89,51,0,133,157,212,179,88,0,212
EA:EB:C9:B6:1F:5A,Flex + IMU,59360,87,48,0,132,86,158,127,247,0,154
EA:EB:C9:B6:1F:5A,Flex + IMU,59400,78,43,0,130,91,11,87,59,115,207
EA:EB:C9:B6:1F:5A,Flex + IMU,59408,73,43,0,130,92,60,166,217,220,57
EA:EB:C9:B6:1F:5A,Flex + IMU,59448,58,44,0,131,204,241,80,224,252,0
EA:EB:C9:B6:1F:5A,Flex + IMU,59456,57,44,0,131,175,204,115,253,187,1
EA:EB:C9:B6:1F:5A,Flex + IMU,59496,54,43,0,130,139,91,141,11,125,230
EA:EB:C9:B6:1F:5A,Flex + IMU,59504,54,43,0,130,167,103,151,107,125,230
EA:EB:C9:B6:1F:5A,Flex + IMU,59544,54,44,0,131,41,13,47,6,117,156
EA:EB:C9:B6:1F:5A,Flex + IMU,59552,55,44,0,131,1,8,43,91,97,74
EA:EB:C9:B6:1F:5A,Flex + IMU,59592,60,44,0,131,238,174,160,179,147,55
EA:EB:C9:B6:1F:5A,Flex + IMU,59600,61,44,0,131,227,174,160,105,142,57
EA:EB:C9:B6:1F:5A,Flex + IMU,59640,74,58,0,138,175,14,237,229,238,78
EA:EB:C9:B6:1F:5A,Flex + IMU,59648,76,63,0,145,196,88,124,55,251,199
EA:EB:C9:B6:1F:5A,Flex + IMU,59688,93,81,0,159,157,79,198,31,131,42
