Device Address,Exercise,Timestamp,Thumb,Index,Middle,Ring,Acc(x),Acc(y),Acc(z),Gyr(x),Gyr(y),Gyr(z)
D4:72:11:8B:5A:4D,Flex + IMU,16792,145,108,0,82,169,56,44,56,26,200
D4:72:11:8B:5A:4D,Flex + IMU,16800,145,108,0,82,162,43,32,112,66,186
D4:72:11:8B:5A:4D,Flex + IMU,16840,145,108,0,82,166,5,77,242,252,143
D4:72:11:8B:5A:4D,Flex + IMU,16848,145,108,0,82,163,9,73,93,252,143
D4:72:11:8B:5A:4D,Flex + IMU,16888,145,108,0,82,124,4,13,130,101,43
D4:72:11:8B:5A:4D,Flex + IMU,16896,145,108,0,82,109,246,18,12,246,192
D4:72:11:8B:5A:4D,Flex + IMU,16936,145,108,0,82,108,234,220,75,25,92
D4:72:11:8B:5A:4D,Flex + IMU,16944,145,108,0,82,117,233,220,75,138,102
D4:72:11:8B:5A:4D,Flex + IMU,16984,145,108,0,82,62,197,4,248,231,44
D4:72:11:8B:5A:4D,Flex + IMU,16992,145,108,0,82,67,192,34,147,64,109
D4:72:11:8B:5A:4D,Flex + IMU,17032,145,108,0,82,126,224,18,66,175,222
D4:72:11:8B:5A:4D,Flex + IMU,17040,145,108,0,82,126,223,5,181,150,164
D4:72:11:8B:5A:4D,Flex + IMU,17080,145,108,0,82,151,169,10,2,69,186
D4:72:11:8B:5A:4D,Flex + IMU,17088,145,108,0,82,150,166,13,195,34,61
D4:72:11:8B:5A:4D,Flex + IMU,17128,145,108,0,82,112,179,40,208,49,227
D4:72:11:8B:5A:4D,Flex + IMU,17136,145,108,0,82,119,194,26,18,37,173
D4:72:11:8B:5A:4D,Flex + IMU,17184,145,108,0,82,71,250,33,7,134,135
D4:72:11:8B:5A:4D,Flex + IMU,17192,145,108,0,82,50,253,43,74,174,197
D4:72:11:8B:5A:4D,Flex + IMU,17232,145,108,0,82,31,247,74,163,137,156
D4:72:11:8B:5A:4D,Flex + IMU,17240,145,108,0,82,36,7,44,125,123,14
D4:72:11:8B:5A:4D,Flex + IMU,17280,145,108,0,82,42,9,12,176,223,74
D4:72:11:8B:5A:4D,Flex + IMU,17288,145,108,0,82,32,239,32,148,169,88
D4:72:11:8B:5A:4D,Flex + IMU,17328,145,108,0,82,14,204,61,248,122,95
D4:72:11:8B:5A:4D,Flex + IMU,17336,146,108,0,82,26,202,46,218,50,15
D4:72:11:8B:5A:4D,Flex + IMU,17376,146,108,0,83,56,196,72,144,5,112
D4:72:11:8B:5A:4D,Flex + IMU,17384,146,109,0,83,61,207,71,45,176,44
D4:72:11:8B:5A:4D,Flex + IMU,17424,146,109,0,83,35,206,79,142,39,185
D4:72:11:8B:5A:4D,Flex + IMU,17432,146,109,0,83,32,215,85,222,24,57
D4:72:11:8B:5A:4D,Flex + IMU,17472,146,109,0,83,40,201,79,228,19,146
D4:72:11:8B:5A:4D,Flex + IMU,17480,146,109,0,83,43,212,64,94,19,146
