Device Address,Exercise,Timestamp,Toe,Heel,Middle,Ring,Acc(x),Acc(y),Acc(z),Gyr(x),Gyr(y),Gyr(z)
FF:13:4E:9E:DF:2A,Flex + IMU,27513,153,86,0,2,179,25,122,118,91,202
FF:13:4E:9E:DF:2A,Flex + IMU,27521,153,86,0,2,173,30,120,92,82,196
FF:13:4E:9E:DF:2A,Flex + IMU,27561,153,86,0,2,174,27,120,123,147,188
FF:13:4E:9E:DF:2A,Flex + IMU,27569,153,86,0,2,174,30,126,108,193,185
FF:13:4E:9E:DF:2A,Flex + IMU,27609,153,87,0,2,180,26,122,132,127,200
FF:13:4E:9E:DF:2A,Flex + IMU,27617,153,87,0,2,179,30,119,146,133,201
FF:13:4E:9E:DF:2A,Flex + IMU,27657,153,86,0,2,184,28,123,94,51,217
FF:13:4E:9E:DF:2A,Flex + IMU,27665,153,86,0,2,177,30,126,109,32,231
FF:13:4E:9E:DF:2A,Flex + IMU,27705,153,86,0,2,180,28,121,140,24,240
FF:13:4E:9E:DF:2A,Flex + IMU,27713,153,86,0,2,176,28,124,143,14,243
FF:13:4E:9E:DF:2A,Flex + IMU,27753,153,86,0,2,176,23,122,142,98,222
FF:13:4E:9E:DF:2A,Flex + IMU,27761,153,86,0,2,179,27,123,123,151,221
FF:13:4E:9E:DF:2A,Flex + IMU,27801,153,86,0,2,178,27,123,128,176,219
FF:13:4E:9E:DF:2A,Flex + IMU,27809,153,86,0,2,184,31,122,112,135,200
FF:13:4E:9E:DF:2A,Flex + IMU,27849,153,85,0,2,176,27,121,132,45,203
FF:13:4E:9E:DF:2A,Flex + IMU,27857,153,86,0,2,179,28,124,112,57,209
FF:13:4E:9E:DF:2A,Flex + IMU,27897,154,86,0,2,175,25,120,37,66,208
FF:13:4E:9E:DF:2A,Flex + IMU,27905,153,86,0,2,175,27,116,18,136,208
FF:13:4E:9E:DF:2A,Flex + IMU,27945,153,86,0,2,181,30,116,114,117,211
FF:13:4E:9E:DF:2A,Flex + IMU,27953,153,87,0,2,174,28,120,144,83,224
FF:13:4E:9E:DF:2A,Flex + IMU,27993,153,87,0,2,178,25,121,209,237,241
FF:13:4E:9E:DF:2A,Flex + IMU,28001,154,88,0,2,177,24,120,239,20,240
FF:13:4E:9E:DF:2A,Flex + IMU,28049,154,86,0,2,175,28,126,47,84,208
FF:13:4E:9E:DF:2A,Flex + IMU,28057,154,87,0,2,177,26,124,61,57,207
FF:13:4E:9E:DF:2A,Flex + IMU,28097,153,86,0,2,165,29,116,79,229,183
FF:13:4E:9E:DF:2A,Flex + IMU,28105,153,85,0,2,177,24,116,120,246,169
FF:13:4E:9E:DF:2A,Flex + IMU,28145,152,85,0,2,175,23,116,33,13,153
FF:13:4E:9E:DF:2A,Flex + IMU,28153,152,85,0,2,178,20,126,175,101,151
FF:13:4E:9E:DF:2A,Flex + IMU,28193,152,83,0,2,136,70,28,75,244,29
FF:13:4E:9E:DF:2A,Flex + IMU,28201,152,84,0,2,83,65,7,153,118,25
FF:13:4E:9E:DF:2A,Flex + IMU,28241,153,80,0,2,27,248,229,179,61,14
FF:13:4E:9E:DF:2A,Flex + IMU,28249,153,80,0,2,79,165,145,251,30,176
FF:13:4E:9E:DF:2A,Flex + IMU,28289,153,68,0,2,46,15,125,36,22,188
FF:13:4E:9E:DF:2A,Flex + IMU,28297,152,68,0,2,247,166,51,101,29,94
FF:13:4E:9E:DF:2A,Flex + IMU,28337,153,68,0,2,45,92,112,156,201,240
FF:13:4E:9E:DF:2A,Flex + IMU,28345,153,69,0,2,108,137,116,12,136,136
FF:13:4E:9E:DF:2A,Flex + IMU,28385,153,68,0,2,34,163,99,114,59,124
FF:13:4E:9E:DF:2A,Flex + IMU,28393,153,68,0,2,116,250,73,68,59,124
FF:13:4E:9E:DF:2A,Flex + IMU,28433,153,66,0,2,191,245,48,66,114,27
FF:13:4E:9E:DF:2A,Flex + IMU,28441,152,66,0,2,233,223,86,15,229,185
FF:13:4E:9E:DF:2A,Flex + IMU,28481,152,66,0,2,84,124,138,148,162,189
FF:13:4E:9E:DF:2A,Flex + IMU,28489,152,66,0,2,193,89,146,148,162,189
FF:13:4E:9E:DF:2A,Flex + IMU,28537,152,67,0,2,33,232,26,197,203,162
FF:13:4E:9E:DF:2A,Flex + IMU,28545,152,67,0,2,6,255,69,65,222,147
FF:13:4E:9E:DF:2A,Flex + IMU,28585,152,66,0,2,39,141,86,214,8,188
FF:13:4E:9E:DF:2A,Flex + IMU,28633,152,64,0,2,177,62,33,213,69,122
FF:13:4E:9E:DF:2A,Flex + IMU,28641,153,64,0,2,55,236,250,82,105,19
FF:13:4E:9E:DF:2A,Flex + IMU,28681,160,83,0,2,217,211,99,173,11,242
FF:13:4E:9E:DF:2A,Flex + IMU,28689,157,84,0,2,74,11,229,173,11,242
FF:13:4E:9E:DF:2A,Flex + IMU,28729,151,74,0,2,120,174,4,141,227,17
FF:13:4E:9E:DF:2A,Flex + IMU,28737,151,74,0,2,203,208,47,10,217,49
FF:13:4E:9E:DF:2A,Flex + IMU,28777,151,75,0,2,141,233,115,172,248,67
FF:13:4E:9E:DF:2A,Flex + IMU,28785,151,78,0,2,111,213,115,172,131,101
FF:13:4E:9E:DF:2A,Flex + IMU,28825,151,74,0,2,175,113,54,24,52,194
FF:13:4E:9E:DF:2A,Flex + IMU,28873,151,77,0,2,91,175,54,69,117,31
FF:13:4E:9E:DF:2A,Flex + IMU,28921,152,77,0,2,43,125,105,66,200,45
FF:13:4E:9E:DF:2A,Flex + IMU,28929,152,76,0,2,228,23,38,73,187,126
FF:13:4E:9E:DF:2A,Flex + IMU,28969,153,63,0,2,151,59,12,200,39,71
FF:13:4E:9E:DF:2A,Flex + IMU,28977,153,63,0,2,151,59,144,175,112,2
