Device Address,Exercise,Timestamp,Toe,Heel,Middle,Ring,Acc(x),Acc(y),Acc(z),Gyr(x),Gyr(y),Gyr(z)
FF:13:4E:9E:DF:2A,Flex + IMU,53241,156,81,0,2,156,9,65,202,40,169
FF:13:4E:9E:DF:2A,Flex + IMU,53249,156,79,0,2,174,52,26,29,220,218
FF:13:4E:9E:DF:2A,Flex + IMU,53289,157,76,0,2,194,104,168,113,113,111
FF:13:4E:9E:DF:2A,Flex + IMU,53297,157,74,0,2,194,247,211,250,188,239
FF:13:4E:9E:DF:2A,Flex + IMU,53337,159,75,0,2,184,102,229,16,115,218
FF:13:4E:9E:DF:2A,Flex + IMU,53345,159,75,0,2,165,165,246,165,121,179
FF:13:4E:9E:DF:2A,Flex + IMU,53385,157,75,0,2,218,0,175,58,12,148
FF:13:4E:9E:DF:2A,Flex + IMU,53393,157,74,0,2,209,232,174,90,134,148
FF:13:4E:9E:DF:2A,Flex + IMU,53433,159,77,0,2,171,252,128,34,237,4
FF:13:4E:9E:DF:2A,Flex + IMU,53441,160,77,0,2,209,15,125,162,137,107
FF:13:4E:9E:DF:2A,Flex + IMU,53481,158,76,0,2,193,29,102,35,135,82
FF:13:4E:9E:DF:2A,Flex + IMU,53489,158,77,0,2,182,24,123,35,135,82
FF:13:4E:9E:DF:2A,Flex + IMU,53529,159,78,0,2,16,90,95,248,162,131
FF:13:4E:9E:DF:2A,Flex + IMU,53537,159,78,0,2,39,114,83,45,56,42
FF:13:4E:9E:DF:2A,Flex + IMU,53577,160,78,0,2,33,139,91,9,131,128
FF:13:4E:9E:DF:2A,Flex + IMU,53585,160,79,0,2,10,140,91,9,230,184
FF:13:4E:9E:DF:2A,Flex + IMU,53625,159,76,0,2,7,143,111,126,152,17
FF:13:4E:9E:DF:2A,Flex + IMU,53633,159,76,0,2,8,148,126,143,177,18
FF:13:4E:9E:DF:2A,Flex + IMU,53681,159,77,0,2,44,150,120,179,191,25
FF:13:4E:9E:DF:2A,Flex + IMU,53689,159,77,0,2,41,155,118,179,191,25
FF:13:4E:9E:DF:2A,Flex + IMU,53729,158,76,0,2,105,180,129,59,112,70
FF:13:4E:9E:DF:2A,Flex + IMU,53737,159,75,0,2,146,202,152,145,206,182
FF:13:4E:9E:DF:2A,Flex + IMU,53777,157,75,0,2,181,94,194,214,6,85
FF:13:4E:9E:DF:2A,Flex + IMU,53785,157,73,0,2,1,45,194,214,127,85
FF:13:4E:9E:DF:2A,Flex + IMU,53825,158,77,0,2,128,147,1,50,38,128
FF:13:4E:9E:DF:2A,Flex + IMU,53833,156,80,0,2,52,64,179,70,3,38
FF:13:4E:9E:DF:2A,Flex + IMU,53873,155,81,0,2,56,86,165,229,113,81
