Device Address,Exercise,Timestamp,Toe,Heel,Middle,Ring,Acc(x),Acc(y),Acc(z),Gyr(x),Gyr(y),Gyr(z)
EA:5A:11:02:8F:90,Flex + IMU,19176,55,79,0,43,37,34,59,50,146,110
EA:5A:11:02:8F:90,Flex + IMU,19184,55,79,0,43,35,32,59,65,147,109
EA:5A:11:02:8F:90,Flex + IMU,19224,55,78,0,43,29,36,58,36,137,93
EA:5A:11:02:8F:90,Flex + IMU,19232,55,78,0,43,30,32,63,45,141,88
EA:5A:11:02:8F:90,Flex + IMU,19272,55,78,0,43,32,32,59,57,167,88
EA:5A:11:02:8F:90,Flex + IMU,19280,55,78,0,43,32,31,58,77,176,93
EA:5A:11:02:8F:90,Flex + IMU,19320,55,78,0,43,27,28,57,57,154,90
EA:5A:11:02:8F:90,Flex + IMU,19328,55,78,0,43,31,35,59,51,172,90
EA:5A:11:02:8F:90,Flex + IMU,19368,54,78,0,43,35,31,63,48,165,78
EA:5A:11:02:8F:90,Flex + IMU,19376,54,78,0,43,32,31,62,45,185,68
EA:5A:11:02:8F:90,Flex + IMU,19424,55,78,0,43,33,28,56,45,191,84
EA:5A:11:02:8F:90,Flex + IMU,19432,54,78,0,43,36,33,53,51,164,86
EA:5A:11:02:8F:90,Flex + IMU,19520,55,80,0,43,30,34,61,57,166,86
EA:5A:11:02:8F:90,Flex + IMU,19528,55,80,0,43,35,31,59,54,161,86
EA:5A:11:02:8F:90,Flex + IMU,19568,55,80,0,43,30,30,59,56,135,101
EA:5A:11:02:8F:90,Flex + IMU,19576,55,80,0,43,26,29,60,34,136,99
EA:5A:11:02:8F:90,Flex + IMU,19616,55,80,0,43,33,30,59,54,131,117
EA:5A:11:02:8F:90,Flex + IMU,19624,55,80,0,43,32,36,58,36,134,97
EA:5A:11:02:8F:90,Flex + IMU,19664,55,80,0,43,30,30,60,54,174,83
EA:5A:11:02:8F:90,Flex + IMU,19672,55,80,0,43,31,31,61,43,181,93
EA:5A:11:02:8F:90,Flex + IMU,19712,55,80,0,43,30,33,62,60,177,87
EA:5A:11:02:8F:90,Flex + IMU,19720,55,80,0,43,31,29,57,35,176,82
EA:5A:11:02:8F:90,Flex + IMU,19760,55,80,0,43,33,30,61,54,144,102
EA:5A:11:02:8F:90,Flex + IMU,19768,54,80,0,43,31,29,59,42,144,101
EA:5A:11:02:8F:90,Flex + IMU,19808,54,80,0,43,34,29,61,18,162,102
EA:5A:11:02:8F:90,Flex + IMU,19816,54,80,0,43,32,30,62,36,152,102
EA:5A:11:02:8F:90,Flex + IMU,19856,54,80,0,43,32,27,58,61,153,100
EA:5A:11:02:8F:90,Flex + IMU,19864,54,80,0,43,32,31,62,59,153,81
EA:5A:11:02:8F:90,Flex + IMU,19904,54,79,0,43,29,32,63,58,166,97
EA:5A:11:02:8F:90,Flex + IMU,19912,54,79,0,43,30,26,58,44,151,110
EA:5A:11:02:8F:90,Flex + IMU,20008,54,79,0,43,33,28,61,53,166,77
EA:5A:11:02:8F:90,Flex + IMU,20056,55,80,0,43,33,29,53,63,175,85
EA:5A:11:02:8F:90,Flex + IMU,20064,55,80,0,43,35,29,54,63,175,86
EA:5A:11:02:8F:90,Flex + IMU,20104,55,80,0,43,34,27,59,64,157,121
EA:5A:11:02:8F:90,Flex + IMU,20112,54,80,0,43,33,27,58,50,158,119
EA:5A:11:02:8F:90,Flex + IMU,20152,55,80,0,43,32,33,59,58,173,93
EA:5A:11:02:8F:90,Flex + IMU,20160,54,80,0,43,34,31,57,58,173,93
EA:5A:11:02:8F:90,Flex + IMU,20200,54,79,0,43,30,28,55,62,165,110
EA:5A:11:02:8F:90,Flex + IMU,20208,54,79,0,43,34,30,54,50,165,139
EA:5A:11:02:8F:90,Flex + IMU,20248,54,80,0,43,33,31,58,32,124,110
EA:5A:11:02:8F:90,Flex + IMU,20256,54,80,0,43,34,30,59,32,124,110
EA:5A:11:02:8F:90,Flex + IMU,20296,54,79,0,43,30,30,53,72,170,84
EA:5A:11:02:8F:90,Flex + IMU,20304,54,79,0,43,29,32,58,64,166,94
EA:5A:11:02:8F:90,Flex + IMU,20344,54,79,0,43,29,28,63,53,165,109
EA:5A:11:02:8F:90,Flex + IMU,20352,54,80,0,43,31,32,63,53,165,109
EA:5A:11:02:8F:90,Flex + IMU,20392,54,80,0,43,29,31,58,66,187,104
EA:5A:11:02:8F:90,Flex + IMU,20400,54,79,0,43,31,33,59,46,173,94
EA:5A:11:02:8F:90,Flex + IMU,20440,54,79,0,43,30,30,56,54,141,121
