Device Address,Exercise,Timestamp,Thumb,Index,Middle,Ring,Acc(x),Acc(y),Acc(z),Gyr(x),Gyr(y),Gyr(z)
EA:5A:11:02:8F:90,Flex + IMU,33040,21,9,0,42,36,171,168,16,126,66
EA:5A:11:02:8F:90,Flex + IMU,33048,22,9,0,43,40,174,170,254,122,66
EA:5A:11:02:8F:90,Flex + IMU,33088,21,9,0,42,31,171,165,9,116,60
EA:5A:11:02:8F:90,Flex + IMU,33096,21,9,0,43,35,167,168,247,126,74
EA:5A:11:02:8F:90,Flex + IMU,33144,20,9,0,43,36,169,168,2,118,59
EA:5A:11:02:8F:90,Flex + IMU,33152,21,9,0,42,34,173,167,253,117,51
EA:5A:11:02:8F:90,Flex + IMU,33240,21,9,0,43,33,173,170,4,129,75
EA:5A:11:02:8F:90,Flex + IMU,33248,21,9,0,43,29,168,162,8,113,73
EA:5A:11:02:8F:90,Flex + IMU,33288,20,9,0,43,37,174,165,7,130,64
EA:5A:11:02:8F:90,Flex + IMU,33296,20,9,0,43,32,173,165,13,110,76
EA:5A:11:02:8F:90,Flex + IMU,33336,19,9,0,43,39,170,169,251,114,82
EA:5A:11:02:8F:90,Flex + IMU,33344,19,9,0,42,37,171,166,251,111,75
EA:5A:11:02:8F:90,Flex + IMU,33384,20,9,0,43,35,172,166,253,107,74
EA:5A:11:02:8F:90,Flex + IMU,33392,20,9,0,42,34,174,169,2,98,55
EA:5A:11:02:8F:90,Flex + IMU,33432,20,9,0,42,30,175,168,5,102,79
EA:5A:11:02:8F:90,Flex + IMU,33440,20,9,0,43,38,170,164,6,130,65
EA:5A:11:02:8F:90,Flex + IMU,33480,20,9,0,43,33,172,163,3,123,83
EA:5A:11:02:8F:90,Flex + IMU,33488,20,9,0,42,36,170,167,15,99,74
EA:5A:11:02:8F:90,Flex + IMU,33528,20,9,0,43,38,171,164,0,132,63
EA:5A:11:02:8F:90,Flex + IMU,33536,20,9,0,43,28,173,165,4,117,63
EA:5A:11:02:8F:90,Flex + IMU,33576,19,9,0,42,33,169,169,21,132,66
EA:5A:11:02:8F:90,Flex + IMU,33632,20,9,0,43,34,173,165,255,115,72
EA:5A:11:02:8F:90,Flex + IMU,33640,19,9,0,43,31,171,164,6,113,49
EA:5A:11:02:8F:90,Flex + IMU,33680,19,9,0,43,29,172,168,10,106,65
EA:5A:11:02:8F:90,Flex + IMU,33688,19,9,0,43,29,172,168,18,128,57
EA:5A:11:02:8F:90,Flex + IMU,33728,19,9,0,43,36,172,166,2,122,81
EA:5A:11:02:8F:90,Flex + IMU,33736,19,9,0,43,36,174,167,2,97,65
EA:5A:11:02:8F:90,Flex + IMU,33776,19,9,0,43,33,171,166,4,131,59
EA:5A:11:02:8F:90,Flex + IMU,33784,19,9,0,42,38,171,166,4,118,63
EA:5A:11:02:8F:90,Flex + IMU,33872,19,9,0,43,37,174,166,251,105,65
