Device Address,Exercise,Timestamp,Thumb,Index,Middle,Ring,Acc(x),Acc(y),Acc(z),Gyr(x),Gyr(y),Gyr(z)
EA:5A:11:02:8F:90,Flex + IMU,53080,24,3,0,42,33,161,157,252,105,59
EA:5A:11:02:8F:90,Flex + IMU,53088,24,3,0,43,29,158,158,6,90,65
EA:5A:11:02:8F:90,Flex + IMU,53128,24,3,0,43,36,160,163,251,117,58
EA:5A:11:02:8F:90,Flex + IMU,53136,24,3,0,43,34,158,157,4,117,58
EA:5A:11:02:8F:90,Flex + IMU,53176,23,3,0,42,39,162,160,3,131,62
EA:5A:11:02:8F:90,Flex + IMU,53184,23,3,0,43,37,160,161,4,115,65
EA:5A:11:02:8F:90,Flex + IMU,53224,24,3,0,42,36,160,162,249,123,67
EA:5A:11:02:8F:90,Flex + IMU,53232,24,3,0,42,34,163,163,252,117,67
EA:5A:11:02:8F:90,Flex + IMU,53272,22,3,0,42,41,162,158,245,123,64
EA:5A:11:02:8F:90,Flex + IMU,53320,23,3,0,43,33,160,160,236,107,69
EA:5A:11:02:8F:90,Flex + IMU,53368,24,3,0,43,33,159,159,253,128,62
EA:5A:11:02:8F:90,Flex + IMU,53376,23,3,0,43,33,159,162,244,113,76
EA:5A:11:02:8F:90,Flex + IMU,53416,23,3,0,43,36,156,162,7,121,74
EA:5A:11:02:8F:90,Flex + IMU,53424,22,3,0,43,32,160,165,7,112,74
EA:5A:11:02:8F:90,Flex + IMU,53520,23,3,0,43,35,157,159,7,122,54
EA:5A:11:02:8F:90,Flex + IMU,53528,23,3,0,43,37,161,159,12,104,74
EA:5A:11:02:8F:90,Flex + IMU,53568,23,3,0,43,30,161,160,248,106,68
EA:5A:11:02:8F:90,Flex + IMU,53576,23,3,0,42,36,156,159,18,103,70
EA:5A:11:02:8F:90,Flex + IMU,53616,23,3,0,43,29,160,160,6,103,71
EA:5A:11:02:8F:90,Flex + IMU,53624,23,3,0,43,28,161,160,10,107,76
EA:5A:11:02:8F:90,Flex + IMU,53664,23,3,0,42,36,160,159,10,113,62
EA:5A:11:02:8F:90,Flex + IMU,53672,22,3,0,43,30,159,158,12,122,76
EA:5A:11:02:8F:90,Flex + IMU,53712,22,3,0,43,36,164,159,15,127,85
EA:5A:11:02:8F:90,Flex + IMU,53720,22,3,0,43,33,157,164,4,119,74
EA:5A:11:02:8F:90,Flex + IMU,53760,23,3,0,43,31,159,164,7,106,85
EA:5A:11:02:8F:90,Flex + IMU,53768,23,3,0,43,36,159,161,9,106,69
EA:5A:11:02:8F:90,Flex + IMU,53904,17,3,0,42,37,158,162,8,105,72
EA:5A:11:02:8F:90,Flex + IMU,53912,17,3,0,43,35,166,162,22,129,64
EA:5A:11:02:8F:90,Flex + IMU,53952,18,3,0,43,38,160,158,252,117,72
EA:5A:11:02:8F:90,Flex + IMU,53960,18,3,0,43,35,160,162,249,105,61
EA:5A:11:02:8F:90,Flex + IMU,54008,17,3,0,42,32,159,167,254,114,67
EA:5A:11:02:8F:90,Flex + IMU,54016,18,3,0,43,34,163,166,254,102,72
EA:5A:11:02:8F:90,Flex + IMU,54056,11,3,0,43,248,134,197,251,58,37
EA:5A:11:02:8F:90,Flex + IMU,54064,9,3,0,43,248,134,197,40,67,5
EA:5A:11:02:8F:90,Flex + IMU,54104,13,3,0,43,137,161,65,90,161,20
EA:5A:11:02:8F:90,Flex + IMU,54112,13,3,0,43,246,139,191,62,23,139
EA:5A:11:02:8F:90,Flex + IMU,54152,16,3,0,43,249,211,209,206,240,205
EA:5A:11:02:8F:90,Flex + IMU,54248,15,3,0,43,52,135,127,166,34,210
EA:5A:11:02:8F:90,Flex + IMU,54256,15,3,0,43,52,135,127,105,23,235
EA:5A:11:02:8F:90,Flex + IMU,54296,17,2,0,43,45,173,198,192,34,141
EA:5A:11:02:8F:90,Flex + IMU,54304,9,3,0,42,52,129,136,60,225,151
EA:5A:11:02:8F:90,Flex + IMU,54344,13,3,0,42,16,132,159,186,118,151
EA:5A:11:02:8F:90,Flex + IMU,54352,12,2,0,43,16,132,159,174,184,157
EA:5A:11:02:8F:90,Flex + IMU,54392,11,2,0,42,18,191,188,123,43,45
EA:5A:11:02:8F:90,Flex + IMU,54440,12,2,0,42,48,200,214,140,44,121
EA:5A:11:02:8F:90,Flex + IMU,54448,7,2,0,42,3,135,214,140,186,154
EA:5A:11:02:8F:90,Flex + IMU,54544,4,2,0,42,19,81,126,204,156,130
EA:5A:11:02:8F:90,Flex + IMU,54552,2,3,0,42,36,104,93,164,236,130
EA:5A:11:02:8F:90,Flex + IMU,54592,5,2,0,43,203,167,251,60,46,168
EA:5A:11:02:8F:90,Flex + IMU,54600,4,2,0,42,109,122,91,63,31,0
EA:5A:11:02:8F:90,Flex + IMU,54640,8,2,0,43,44,215,198,234,94,141
EA:5A:11:02:8F:90,Flex + IMU,54648,5,2,0,43,3,232,219,101,98,207
EA:5A:11:02:8F:90,Flex + IMU,54688,10,2,0,43,9,128,198,199,79,190
EA:5A:11:02:8F:90,Flex + IMU,54696,10,2,0,43,32,93,148,149,183,90
EA:5A:11:02:8F:90,Flex + IMU,54736,4,1,0,43,158,122,38,254,170,37
EA:5A:11:02:8F:90,Flex + IMU,54744,6,1,0,42,243,157,243,73,36,112
EA:5A:11:02:8F:90,Flex + IMU,54784,4,1,0,42,205,153,112,120,235,255
EA:5A:11:02:8F:90,Flex + IMU,54792,2,1,0,42,17,93,44,235,136,188
EA:5A:11:02:8F:90,Flex + IMU,54832,6,1,0,43,175,113,239,130,25,155
EA:5A:11:02:8F:90,Flex + IMU,54840,3,1,0,42,210,150,228,175,123,176
EA:5A:11:02:8F:90,Flex + IMU,54880,7,1,0,43,185,23,203,121,209,24
EA:5A:11:02:8F:90,Flex + IMU,54888,11,1,0,43,186,22,198,96,239,3
EA:5A:11:02:8F:90,Flex + IMU,54928,6,15,0,43,183,54,179,87,218,245
EA:5A:11:02:8F:90,Flex + IMU,54936,7,23,0,43,54,64,21,82,187,245
EA:5A:11:02:8F:90,Flex + IMU,54976,5,32,0,42,109,62,176,42,141,103
EA:5A:11:02:8F:90,Flex + IMU,54984,6,28,0,43,144,71,215,173,51,137
EA:5A:11:02:8F:90,Flex + IMU,55080,9,52,0,43,203,12,91,208,209,240
EA:5A:11:02:8F:90,Flex + IMU,55088,11,53,0,43,196,219,43,43,221,20
EA:5A:11:02:8F:90,Flex + IMU,55176,7,88,0,43,159,192,244,25,56,4
EA:5A:11:02:8F:90,Flex + IMU,55184,4,89,0,42,99,154,201,73,155,227
EA:5A:11:02:8F:90,Flex + IMU,55224,9,93,0,43,10,114,151,203,166,137
EA:5A:11:02:8F:90,Flex + IMU,55232,13,93,0,43,15,165,223,250,212,190
EA:5A:11:02:8F:90,Flex + IMU,55272,6,103,0,43,236,237,7,165,58,111
EA:5A:11:02:8F:90,Flex + IMU,55280,5,105,0,43,192,9,71,156,243,187
EA:5A:11:02:8F:90,Flex + IMU,55368,9,130,0,43,199,29,117,28,193,222
EA:5A:11:02:8F:90,Flex + IMU,55376,8,129,0,43,208,66,140,163,242,227
EA:5A:11:02:8F:90,Flex + IMU,55416,2,137,0,42,198,14,103,228,5,14
EA:5A:11:02:8F:90,Flex + IMU,55424,5,135,0,43,174,20,120,22,189,131
EA:5A:11:02:8F:90,Flex + IMU,55464,4,143,0,42,206,48,120,195,163,240
EA:5A:11:02:8F:90,Flex + IMU,55512,6,145,0,43,171,255,88,191,17,169
EA:5A:11:02:8F:90,Flex + IMU,55568,1,153,0,42,170,44,146,243,137,13
EA:5A:11:02:8F:90,Flex + IMU,55576,2,154,0,42,170,44,146,171,33,162
EA:5A:11:02:8F:90,Flex + IMU,55616,3,159,0,42,173,246,91,113,74,67
EA:5A:11:02:8F:90,Flex + IMU,55624,4,163,0,43,149,38,149,248,154,215
EA:5A:11:02:8F:90,Flex + IMU,55664,3,168,0,43,183,85,239,252,92,59
EA:5A:11:02:8F:90,Flex + IMU,55672,1,167,0,42,183,85,239,103,141,94
EA:5A:11:02:8F:90,Flex + IMU,55712,1,174,0,42,54,202,104,122,16,166
EA:5A:11:02:8F:90,Flex + IMU,55760,2,176,0,42,117,2,134,98,6,136
EA:5A:11:02:8F:90,Flex + IMU,55768,1,178,0,42,113,2,134,98,64,63
EA:5A:11:02:8F:90,Flex + IMU,55808,1,177,0,42,175,66,220,232,37,230
EA:5A:11:02:8F:90,Flex + IMU,55816,1,178,0,42,143,37,193,19,241,19
EA:5A:11:02:8F:90,Flex + IMU,55856,2,178,0,42,166,38,132,198,68,168
EA:5A:11:02:8F:90,Flex + IMU,55864,4,178,0,42,144,8,132,198,0,70
