Device Address,Exercise,Timestamp,Thumb,Index,Middle,Ring,Acc(x),Acc(y),Acc(z),Gyr(x),Gyr(y),Gyr(z)
EA:5A:11:02:8F:90,Flex + IMU,37136,4,21,0,42,14,113,255,3,110,90
EA:5A:11:02:8F:90,Flex + IMU,37176,4,21,0,42,14,113,2,4,114,74
EA:5A:11:02:8F:90,Flex + IMU,37224,4,21,0,42,14,114,2,8,108,75
EA:5A:11:02:8F:90,Flex + IMU,37232,4,21,0,42,16,112,3,14,110,81
EA:5A:11:02:8F:90,Flex + IMU,37320,4,21,0,43,12,115,5,22,122,70
EA:5A:11:02:8F:90,Flex + IMU,37328,4,21,0,42,14,113,2,13,110,72
EA:5A:11:02:8F:90,Flex + IMU,37376,5,21,0,42,12,112,1,13,116,75
EA:5A:11:02:8F:90,Flex + IMU,37384,5,21,0,42,11,112,1,13,115,84
EA:5A:11:02:8F:90,Flex + IMU,37472,5,22,0,43,15,112,0,7,118,81
EA:5A:11:02:8F:90,Flex + IMU,37480,5,23,0,43,11,111,3,17,119,80
EA:5A:11:02:8F:90,Flex + IMU,37520,5,22,0,42,13,114,0,17,108,87
EA:5A:11:02:8F:90,Flex + IMU,37528,5,22,0,42,13,112,253,12,119,71
EA:5A:11:02:8F:90,Flex + IMU,37568,5,23,0,42,11,115,5,5,121,76
EA:5A:11:02:8F:90,Flex + IMU,37576,5,23,0,42,15,110,4,238,109,73
EA:5A:11:02:8F:90,Flex + IMU,37616,6,22,0,43,14,111,5,6,114,77
EA:5A:11:02:8F:90,Flex + IMU,37624,6,23,0,43,14,111,3,15,103,82
EA:5A:11:02:8F:90,Flex + IMU,37664,6,23,0,43,18,117,0,3,120,77
EA:5A:11:02:8F:90,Flex + IMU,37672,6,23,0,43,13,114,254,4,108,95
EA:5A:11:02:8F:90,Flex + IMU,37712,5,23,0,42,14,111,255,13,115,80
EA:5A:11:02:8F:90,Flex + IMU,37720,5,23,0,42,14,111,255,5,107,79
EA:5A:11:02:8F:90,Flex + IMU,37760,5,24,0,42,15,114,0,11,118,86
EA:5A:11:02:8F:90,Flex + IMU,37768,5,23,0,42,12,112,0,5,105,97
EA:5A:11:02:8F:90,Flex + IMU,37808,5,24,0,43,14,112,7,0,110,68
EA:5A:11:02:8F:90,Flex + IMU,37816,5,24,0,42,14,112,7,255,99,85
EA:5A:11:02:8F:90,Flex + IMU,37864,6,24,0,43,14,113,2,253,114,84
EA:5A:11:02:8F:90,Flex + IMU,37912,5,24,0,43,12,114,254,15,115,85
EA:5A:11:02:8F:90,Flex + IMU,37920,5,24,0,42,13,110,255,15,115,85
EA:5A:11:02:8F:90,Flex + IMU,37960,4,24,0,42,10,112,1,14,118,85
EA:5A:11:02:8F:90,Flex + IMU,37968,5,23,0,43,10,115,255,11,107,91
EA:5A:11:02:8F:90,Flex + IMU,38008,4,24,0,42,17,112,2,0,127,99
EA:5A:11:02:8F:90,Flex + IMU,38016,4,24,0,42,19,108,0,11,127,99
EA:5A:11:02:8F:90,Flex + IMU,38056,4,23,0,42,14,112,255,254,111,85
EA:5A:11:02:8F:90,Flex + IMU,38064,5,23,0,42,22,112,255,5,105,85
EA:5A:11:02:8F:90,Flex + IMU,38104,5,22,0,42,12,113,6,3,122,78
EA:5A:11:02:8F:90,Flex + IMU,38112,5,22,0,43,14,114,255,16,113,78
EA:5A:11:02:8F:90,Flex + IMU,38152,5,22,0,42,13,112,2,13,119,89
EA:5A:11:02:8F:90,Flex + IMU,38160,5,22,0,42,17,110,0,19,118,92
EA:5A:11:02:8F:90,Flex + IMU,38200,5,21,0,42,15,112,0,2,121,83
EA:5A:11:02:8F:90,Flex + IMU,38248,5,21,0,42,12,114,3,3,116,86
EA:5A:11:02:8F:90,Flex + IMU,38256,5,21,0,42,15,111,3,7,117,75
EA:5A:11:02:8F:90,Flex + IMU,38344,5,21,0,43,14,113,255,26,117,70
EA:5A:11:02:8F:90,Flex + IMU,38352,5,21,0,43,12,115,6,10,112,62
EA:5A:11:02:8F:90,Flex + IMU,38392,7,21,0,43,12,114,0,7,121,85
EA:5A:11:02:8F:90,Flex + IMU,38448,6,21,0,43,15,110,1,26,129,85
EA:5A:11:02:8F:90,Flex + IMU,38456,7,21,0,43,10,107,4,24,111,73
EA:5A:11:02:8F:90,Flex + IMU,38496,8,21,0,43,10,119,6,11,107,79
EA:5A:11:02:8F:90,Flex + IMU,38544,6,21,0,42,15,113,0,35,98,87
EA:5A:11:02:8F:90,Flex + IMU,38552,7,21,0,42,11,112,1,255,123,93
EA:5A:11:02:8F:90,Flex + IMU,38592,7,20,0,43,12,110,1,13,116,74
EA:5A:11:02:8F:90,Flex + IMU,38600,7,20,0,43,16,112,2,254,106,82
EA:5A:11:02:8F:90,Flex + IMU,38640,7,21,0,42,9,111,2,5,100,75
EA:5A:11:02:8F:90,Flex + IMU,38648,8,20,0,43,9,114,1,14,107,88
EA:5A:11:02:8F:90,Flex + IMU,38688,7,19,0,43,16,111,0,22,101,76
EA:5A:11:02:8F:90,Flex + IMU,38696,7,19,0,43,12,114,255,16,127,80
EA:5A:11:02:8F:90,Flex + IMU,38736,7,19,0,43,14,113,2,8,106,91
EA:5A:11:02:8F:90,Flex + IMU,38744,6,19,0,43,14,110,255,16,104,80
EA:5A:11:02:8F:90,Flex + IMU,38784,7,20,0,43,14,110,1,7,92,73
EA:5A:11:02:8F:90,Flex + IMU,38792,6,21,0,43,11,109,4,4,100,78
EA:5A:11:02:8F:90,Flex + IMU,38832,6,21,0,43,12,113,4,7,118,78
EA:5A:11:02:8F:90,Flex + IMU,38840,6,22,0,42,15,114,254,14,123,77
EA:5A:11:02:8F:90,Flex + IMU,38880,6,21,0,43,17,109,255,2,123,72
EA:5A:11:02:8F:90,Flex + IMU,38888,6,21,0,43,13,108,1,10,130,64
EA:5A:11:02:8F:90,Flex + IMU,38936,7,21,0,43,13,112,0,7,111,78
EA:5A:11:02:8F:90,Flex + IMU,38944,7,21,0,43,13,112,254,254,133,78
EA:5A:11:02:8F:90,Flex + IMU,38984,7,21,0,42,10,113,254,3,142,71
EA:5A:11:02:8F:90,Flex + IMU,38992,7,21,0,43,12,112,1,19,123,75
EA:5A:11:02:8F:90,Flex + IMU,39032,6,21,0,43,12,110,1,14,126,86
EA:5A:11:02:8F:90,Flex + IMU,39040,7,21,0,43,12,110,1,16,105,72
EA:5A:11:02:8F:90,Flex + IMU,39080,6,21,0,43,14,110,3,6,116,60
EA:5A:11:02:8F:90,Flex + IMU,39088,6,21,0,43,8,117,1,10,121,78
EA:5A:11:02:8F:90,Flex + IMU,39176,6,22,0,43,10,110,1,17,113,95
EA:5A:11:02:8F:90,Flex + IMU,39184,6,21,0,43,10,113,6,25,119,74
EA:5A:11:02:8F:90,Flex + IMU,39224,7,20,0,43,13,112,0,11,113,75
EA:5A:11:02:8F:90,Flex + IMU,39232,6,20,0,43,13,112,0,9,115,75
EA:5A:11:02:8F:90,Flex + IMU,39272,7,21,0,43,12,111,255,7,113,83
EA:5A:11:02:8F:90,Flex + IMU,39280,7,22,0,43,11,114,3,4,121,77
EA:5A:11:02:8F:90,Flex + IMU,39368,7,22,0,43,14,114,252,15,127,86
EA:5A:11:02:8F:90,Flex + IMU,39376,7,22,0,43,11,110,255,13,112,76
EA:5A:11:02:8F:90,Flex + IMU,39424,8,22,0,43,13,116,254,18,141,74
EA:5A:11:02:8F:90,Flex + IMU,39472,8,22,0,42,16,116,4,20,109,71
EA:5A:11:02:8F:90,Flex + IMU,39480,8,22,0,43,13,107,254,7,119,66
EA:5A:11:02:8F:90,Flex + IMU,39568,8,22,0,42,17,112,0,7,116,78
EA:5A:11:02:8F:90,Flex + IMU,39576,8,22,0,42,16,109,4,5,102,63
EA:5A:11:02:8F:90,Flex + IMU,39616,8,22,0,42,10,114,0,2,124,63
EA:5A:11:02:8F:90,Flex + IMU,39624,8,23,0,43,12,112,252,16,120,82
EA:5A:11:02:8F:90,Flex + IMU,39664,8,22,0,43,14,113,251,2,127,80
EA:5A:11:02:8F:90,Flex + IMU,39672,8,21,0,42,11,112,0,2,123,89
EA:5A:11:02:8F:90,Flex + IMU,39712,8,23,0,43,13,110,8,15,100,80
EA:5A:11:02:8F:90,Flex + IMU,39720,8,24,0,42,16,112,3,6,102,94
EA:5A:11:02:8F:90,Flex + IMU,39760,8,21,0,43,12,112,0,245,110,78
EA:5A:11:02:8F:90,Flex + IMU,39768,8,21,0,43,14,114,3,16,102,76
EA:5A:11:02:8F:90,Flex + IMU,39808,7,21,0,42,13,111,253,7,122,75
EA:5A:11:02:8F:90,Flex + IMU,39816,7,21,0,43,12,114,3,6,114,75
EA:5A:11:02:8F:90,Flex + IMU,39856,7,22,0,43,13,115,5,21,107,90
EA:5A:11:02:8F:90,Flex + IMU,39864,7,22,0,43,12,108,255,20,119,87
EA:5A:11:02:8F:90,Flex + IMU,39904,7,21,0,43,14,113,6,18,112,67
EA:5A:11:02:8F:90,Flex + IMU,39912,7,21,0,42,13,116,2,250,114,52
