Device Address,Exercise,Timestamp,Thumb,Index,Middle,Ring,Acc(x),Acc(y),Acc(z),Gyr(x),Gyr(y),Gyr(z)
EA:5A:11:02:8F:90,Flex + IMU,2904,129,118,0,43,4,103,25,35,107,70
EA:5A:11:02:8F:90,Flex + IMU,2944,129,117,0,43,3,101,26,57,135,77
EA:5A:11:02:8F:90,Flex + IMU,2952,129,117,0,43,6,104,23,50,129,73
EA:5A:11:02:8F:90,Flex + IMU,3000,129,117,0,43,8,101,21,15,109,89
EA:5A:11:02:8F:90,Flex + IMU,3008,129,118,0,43,5,102,26,49,117,89
EA:5A:11:02:8F:90,Flex + IMU,3048,129,118,0,43,8,103,22,48,133,80
EA:5A:11:02:8F:90,Flex + IMU,3056,129,117,0,43,9,102,23,40,137,91
EA:5A:11:02:8F:90,Flex + IMU,3096,129,117,0,43,10,105,29,42,129,80
EA:5A:11:02:8F:90,Flex + IMU,3144,129,117,0,43,3,106,25,26,126,91
EA:5A:11:02:8F:90,Flex + IMU,3152,129,117,0,43,3,107,26,27,143,87
EA:5A:11:02:8F:90,Flex + IMU,3192,129,117,0,43,7,101,25,34,149,91
EA:5A:11:02:8F:90,Flex + IMU,3200,129,117,0,43,5,105,22,20,136,90
EA:5A:11:02:8F:90,Flex + IMU,3240,129,117,0,43,4,100,27,35,118,61
EA:5A:11:02:8F:90,Flex + IMU,3288,129,117,0,43,7,104,21,19,112,52
EA:5A:11:02:8F:90,Flex + IMU,3336,129,117,0,43,1,101,28,41,89,81
EA:5A:11:02:8F:90,Flex + IMU,3344,129,117,0,43,4,102,23,35,84,104
EA:5A:11:02:8F:90,Flex + IMU,3384,129,116,0,43,13,104,14,70,143,112
EA:5A:11:02:8F:90,Flex + IMU,3392,129,115,0,43,11,99,22,88,112,126
EA:5A:11:02:8F:90,Flex + IMU,3432,127,108,0,43,5,105,26,169,197,83
EA:5A:11:02:8F:90,Flex + IMU,3440,126,107,0,43,18,105,15,178,181,81
EA:5A:11:02:8F:90,Flex + IMU,3488,124,98,0,43,4,114,24,245,133,39
EA:5A:11:02:8F:90,Flex + IMU,3496,122,96,0,43,12,106,23,67,233,246
EA:5A:11:02:8F:90,Flex + IMU,3536,114,87,0,43,50,170,208,105,133,228
EA:5A:11:02:8F:90,Flex + IMU,3544,107,90,0,43,140,142,132,124,220,66
EA:5A:11:02:8F:90,Flex + IMU,3584,64,102,0,43,79,39,126,138,48,248
EA:5A:11:02:8F:90,Flex + IMU,3592,64,99,0,43,214,127,194,212,229,133
EA:5A:11:02:8F:90,Flex + IMU,3632,44,78,0,43,149,120,57,135,161,64
EA:5A:11:02:8F:90,Flex + IMU,3640,47,78,0,43,194,85,111,110,105,133
EA:5A:11:02:8F:90,Flex + IMU,3680,43,58,0,43,217,130,152,35,202,203
EA:5A:11:02:8F:90,Flex + IMU,3688,42,53,0,43,203,137,237,247,150,2
EA:5A:11:02:8F:90,Flex + IMU,3728,41,41,0,43,99,24,222,145,45,44
EA:5A:11:02:8F:90,Flex + IMU,3776,43,44,0,43,19,147,180,238,143,161
EA:5A:11:02:8F:90,Flex + IMU,3784,43,41,0,43,169,100,132,97,225,66
EA:5A:11:02:8F:90,Flex + IMU,3824,40,37,0,43,156,114,237,105,112,181
EA:5A:11:02:8F:90,Flex + IMU,3832,47,32,0,43,49,188,7,112,233,213
EA:5A:11:02:8F:90,Flex + IMU,3872,42,40,0,43,214,217,15,40,92,17
EA:5A:11:02:8F:90,Flex + IMU,3880,45,44,0,43,122,152,21,190,28,159
EA:5A:11:02:8F:90,Flex + IMU,3920,47,47,0,43,74,53,177,54,65,246
EA:5A:11:02:8F:90,Flex + IMU,3928,48,46,0,43,241,43,148,38,99,63
EA:5A:11:02:8F:90,Flex + IMU,4024,46,97,0,43,54,234,29,196,154,67
EA:5A:11:02:8F:90,Flex + IMU,4032,124,56,0,43,54,234,29,220,28,164
EA:5A:11:02:8F:90,Flex + IMU,4072,69,75,0,43,221,74,173,85,229,254
EA:5A:11:02:8F:90,Flex + IMU,4080,56,84,0,43,219,214,141,86,8,168
EA:5A:11:02:8F:90,Flex + IMU,4120,44,88,0,43,192,216,201,120,143,50
EA:5A:11:02:8F:90,Flex + IMU,4128,40,81,0,43,146,216,201,108,46,127
EA:5A:11:02:8F:90,Flex + IMU,4168,44,91,0,43,118,123,237,213,167,111
EA:5A:11:02:8F:90,Flex + IMU,4176,40,96,0,43,91,157,220,218,100,28
EA:5A:11:02:8F:90,Flex + IMU,4216,31,100,0,43,244,233,177,62,12,18
EA:5A:11:02:8F:90,Flex + IMU,4224,32,96,0,43,93,209,177,62,96,145
EA:5A:11:02:8F:90,Flex + IMU,4264,28,64,0,42,200,151,187,228,181,198
EA:5A:11:02:8F:90,Flex + IMU,4272,33,53,0,42,61,56,196,39,173,115
EA:5A:11:02:8F:90,Flex + IMU,4312,32,53,0,42,255,81,138,106,97,18
EA:5A:11:02:8F:90,Flex + IMU,4320,34,56,0,42,184,81,138,106,97,247
EA:5A:11:02:8F:90,Flex + IMU,4360,34,49,0,43,247,233,54,177,113,210
EA:5A:11:02:8F:90,Flex + IMU,4408,40,57,0,43,8,152,215,186,141,46
EA:5A:11:02:8F:90,Flex + IMU,4416,42,52,0,43,204,152,215,186,141,190
EA:5A:11:02:8F:90,Flex + IMU,4456,46,53,0,43,1,62,60,2,170,94
EA:5A:11:02:8F:90,Flex + IMU,4464,45,53,0,43,84,30,32,7,34,189
EA:5A:11:02:8F:90,Flex + IMU,4504,49,58,0,43,169,102,12,237,172,191
EA:5A:11:02:8F:90,Flex + IMU,4512,49,58,0,43,169,141,7,237,172,191
EA:5A:11:02:8F:90,Flex + IMU,4608,49,60,0,43,232,185,76,152,212,169
EA:5A:11:02:8F:90,Flex + IMU,4616,49,59,0,43,19,189,110,189,94,152
EA:5A:11:02:8F:90,Flex + IMU,4656,89,89,0,43,23,77,147,10,86,254
EA:5A:11:02:8F:90,Flex + IMU,4664,143,92,0,43,76,70,161,30,192,149
EA:5A:11:02:8F:90,Flex + IMU,4704,61,85,0,43,192,165,28,82,210,16
EA:5A:11:02:8F:90,Flex + IMU,4712,43,85,0,43,107,17,21,67,44,69
EA:5A:11:02:8F:90,Flex + IMU,4752,44,85,0,43,196,141,137,30,52,154
EA:5A:11:02:8F:90,Flex + IMU,4760,46,84,0,43,22,151,8,72,126,55
EA:5A:11:02:8F:90,Flex + IMU,4800,48,92,0,43,213,37,16,2,202,85
EA:5A:11:02:8F:90,Flex + IMU,4808,47,88,0,43,123,224,18,187,242,74
EA:5A:11:02:8F:90,Flex + IMU,4848,8,78,0,43,195,241,146,186,30,51
EA:5A:11:02:8F:90,Flex + IMU,4856,4,66,0,42,72,60,188,142,227,27
EA:5A:11:02:8F:90,Flex + IMU,4896,29,46,0,42,89,90,77,155,113,253
EA:5A:11:02:8F:90,Flex + IMU,4904,31,46,0,43,189,156,49,96,78,131
EA:5A:11:02:8F:90,Flex + IMU,4944,41,45,0,43,134,90,144,67,126,244
EA:5A:11:02:8F:90,Flex + IMU,4952,42,45,0,43,56,32,200,97,106,49
EA:5A:11:02:8F:90,Flex + IMU,4992,47,53,0,43,43,128,29,254,204,190
EA:5A:11:02:8F:90,Flex + IMU,5000,49,52,0,43,183,253,38,8,237,189
EA:5A:11:02:8F:90,Flex + IMU,5048,47,51,0,43,97,15,224,122,224,46
EA:5A:11:02:8F:90,Flex + IMU,5056,46,50,0,43,60,223,194,115,129,205
EA:5A:11:02:8F:90,Flex + IMU,5096,46,51,0,43,201,154,94,7,93,87
EA:5A:11:02:8F:90,Flex + IMU,5104,48,50,0,43,109,134,81,40,219,128
EA:5A:11:02:8F:90,Flex + IMU,5144,47,55,0,43,58,92,57,23,86,55
EA:5A:11:02:8F:90,Flex + IMU,5152,51,53,0,43,137,81,82,170,45,235
EA:5A:11:02:8F:90,Flex + IMU,5192,45,50,0,43,24,100,83,153,168,105
EA:5A:11:02:8F:90,Flex + IMU,5200,45,53,0,43,25,30,131,149,0,62
EA:5A:11:02:8F:90,Flex + IMU,5240,36,80,0,42,226,0,140,74,187,207
EA:5A:11:02:8F:90,Flex + IMU,5248,109,101,0,43,89,243,30,194,130,1
EA:5A:11:02:8F:90,Flex + IMU,5288,67,74,0,43,19,29,91,143,73,136
EA:5A:11:02:8F:90,Flex + IMU,5296,53,72,0,43,130,206,243,225,165,180
EA:5A:11:02:8F:90,Flex + IMU,5336,40,76,0,43,11,20,17,246,177,219
EA:5A:11:02:8F:90,Flex + IMU,5344,47,80,0,43,113,146,21,227,246,35
EA:5A:11:02:8F:90,Flex + IMU,5384,50,82,0,43,91,125,26,99,134,216
EA:5A:11:02:8F:90,Flex + IMU,5392,51,82,0,43,220,23,22,200,191,104
EA:5A:11:02:8F:90,Flex + IMU,5440,47,106,0,43,68,98,220,59,66,248
EA:5A:11:02:8F:90,Flex + IMU,5480,20,77,0,43,27,46,109,61,147,1
EA:5A:11:02:8F:90,Flex + IMU,5528,38,25,0,42,68,137,29,243,31,153
EA:5A:11:02:8F:90,Flex + IMU,5536,43,33,0,43,68,72,39,61,196,100
EA:5A:11:02:8F:90,Flex + IMU,5584,51,36,0,43,132,243,7,238,242,58
EA:5A:11:02:8F:90,Flex + IMU,5592,52,35,0,43,177,55,250,62,77,178
EA:5A:11:02:8F:90,Flex + IMU,5632,55,35,0,43,54,233,16,128,224,21
EA:5A:11:02:8F:90,Flex + IMU,5640,56,34,0,43,241,76,16,128,107,115
EA:5A:11:02:8F:90,Flex + IMU,5680,47,35,0,43,84,53,101,93,92,97
EA:5A:11:02:8F:90,Flex + IMU,5688,49,36,0,43,21,226,90,78,217,188
EA:5A:11:02:8F:90,Flex + IMU,5728,45,35,0,43,247,130,4,242,246,203
EA:5A:11:02:8F:90,Flex + IMU,5736,48,39,0,43,235,150,249,242,246,229
EA:5A:11:02:8F:90,Flex + IMU,5776,47,41,0,43,31,158,17,49,200,205
EA:5A:11:02:8F:90,Flex + IMU,5784,45,43,0,43,45,126,16,83,167,231
EA:5A:11:02:8F:90,Flex + IMU,5824,46,48,0,43,108,255,62,202,24,109
EA:5A:11:02:8F:90,Flex + IMU,5832,50,53,0,43,201,231,104,202,24,109
EA:5A:11:02:8F:90,Flex + IMU,5872,9,95,0,43,59,212,93,229,101,60
EA:5A:11:02:8F:90,Flex + IMU,5880,14,63,0,43,208,254,137,11,16,115
EA:5A:11:02:8F:90,Flex + IMU,5920,101,73,0,43,115,227,126,203,245,246
EA:5A:11:02:8F:90,Flex + IMU,5928,79,79,0,43,243,122,43,203,245,246
EA:5A:11:02:8F:90,Flex + IMU,5968,29,79,0,42,60,51,209,50,89,212
EA:5A:11:02:8F:90,Flex + IMU,5976,29,67,0,42,26,201,44,200,230,87
EA:5A:11:02:8F:90,Flex + IMU,6016,49,72,0,43,246,215,216,25,36,170
EA:5A:11:02:8F:90,Flex + IMU,6024,50,76,0,43,43,19,135,25,36,170
EA:5A:11:02:8F:90,Flex + IMU,6120,50,100,0,43,102,133,11,43,57,210
EA:5A:11:02:8F:90,Flex + IMU,6128,44,89,0,43,223,148,195,145,72,56
EA:5A:11:02:8F:90,Flex + IMU,6168,41,44,0,43,61,242,43,132,35,17
EA:5A:11:02:8F:90,Flex + IMU,6176,45,46,0,43,72,228,81,104,79,17
EA:5A:11:02:8F:90,Flex + IMU,6216,50,26,0,43,111,213,82,85,89,71
EA:5A:11:02:8F:90,Flex + IMU,6224,50,24,0,43,78,140,137,48,174,157
EA:5A:11:02:8F:90,Flex + IMU,6264,62,35,0,43,199,176,49,16,223,130
EA:5A:11:02:8F:90,Flex + IMU,6272,63,31,0,43,61,39,16,141,222,54
EA:5A:11:02:8F:90,Flex + IMU,6312,58,33,0,43,216,241,72,189,208,42
EA:5A:11:02:8F:90,Flex + IMU,6408,49,34,0,43,154,144,46,6,116,36
EA:5A:11:02:8F:90,Flex + IMU,6416,49,37,0,43,249,163,24,88,47,87
EA:5A:11:02:8F:90,Flex + IMU,6456,44,32,0,43,6,171,165,27,143,199
EA:5A:11:02:8F:90,Flex + IMU,6464,42,30,0,43,208,130,173,93,112,246
EA:5A:11:02:8F:90,Flex + IMU,6504,47,34,0,43,147,14,233,48,225,238
EA:5A:11:02:8F:90,Flex + IMU,6512,32,85,0,42,114,203,2,232,252,126
EA:5A:11:02:8F:90,Flex + IMU,6552,106,63,0,43,246,15,223,242,171,174
EA:5A:11:02:8F:90,Flex + IMU,6560,81,68,0,43,243,227,213,51,173,222
EA:5A:11:02:8F:90,Flex + IMU,6600,32,82,0,43,108,155,99,97,18,148
EA:5A:11:02:8F:90,Flex + IMU,6608,35,81,0,42,228,236,154,40,62,93
EA:5A:11:02:8F:90,Flex + IMU,6656,43,78,0,43,130,200,116,158,193,141
EA:5A:11:02:8F:90,Flex + IMU,6664,42,81,0,43,129,168,56,39,154,251
EA:5A:11:02:8F:90,Flex + IMU,6704,43,92,0,43,83,164,25,128,85,107
EA:5A:11:02:8F:90,Flex + IMU,6712,44,103,0,43,127,199,4,0,126,197
EA:5A:11:02:8F:90,Flex + IMU,6752,33,98,0,43,218,31,166,210,240,251
EA:5A:11:02:8F:90,Flex + IMU,6760,29,85,0,43,43,212,177,166,193,116
EA:5A:11:02:8F:90,Flex + IMU,6800,16,49,0,42,115,39,192,75,99,164
EA:5A:11:02:8F:90,Flex + IMU,6808,22,50,0,43,236,104,23,39,53,14
EA:5A:11:02:8F:90,Flex + IMU,6848,40,41,0,43,200,193,148,255,225,227
EA:5A:11:02:8F:90,Flex + IMU,6856,40,39,0,43,87,193,204,40,72,90
EA:5A:11:02:8F:90,Flex + IMU,6896,51,41,0,43,115,52,84,119,253,82
EA:5A:11:02:8F:90,Flex + IMU,6904,51,43,0,43,154,149,114,182,185,37
EA:5A:11:02:8F:90,Flex + IMU,6944,48,40,0,43,5,118,176,189,8,94
EA:5A:11:02:8F:90,Flex + IMU,6952,42,39,0,43,5,170,158,75,62,220
EA:5A:11:02:8F:90,Flex + IMU,6992,27,54,0,42,239,209,82,255,24,51
