Device Address,Exercise,Timestamp,Thumb,Index,Middle,Ring,Acc(x),Acc(y),Acc(z),Gyr(x),Gyr(y),Gyr(z)
EA:5A:11:02:8F:90,Flex + IMU,21080,118,71,0,43,65,77,113,119,187,232
EA:5A:11:02:8F:90,Flex + IMU,21088,111,74,0,43,115,28,58,32,180,59
EA:5A:11:02:8F:90,Flex + IMU,21128,111,94,0,43,157,11,75,225,159,60
EA:5A:11:02:8F:90,Flex + IMU,21136,110,98,0,43,187,254,5,102,163,60
EA:5A:11:02:8F:90,Flex + IMU,21176,107,91,0,43,93,68,198,96,186,159
EA:5A:11:02:8F:90,Flex + IMU,21232,116,84,0,43,188,142,112,172,49,37
EA:5A:11:02:8F:90,Flex + IMU,21280,121,52,0,43,88,163,112,65,166,11
EA:5A:11:02:8F:90,Flex + IMU,21288,121,47,0,43,210,45,160,164,225,93
EA:5A:11:02:8F:90,Flex + IMU,21328,127,51,0,43,118,93,167,22,32,160
EA:5A:11:02:8F:90,Flex + IMU,21336,126,58,0,43,245,199,174,127,250,92
EA:5A:11:02:8F:90,Flex + IMU,21376,127,57,0,43,51,49,10,236,21,185
EA:5A:11:02:8F:90,Flex + IMU,21384,126,62,0,43,238,110,0,201,118,48
EA:5A:11:02:8F:90,Flex + IMU,21424,124,61,0,43,123,240,2,121,163,62
EA:5A:11:02:8F:90,Flex + IMU,21432,124,63,0,43,188,178,42,116,41,146
EA:5A:11:02:8F:90,Flex + IMU,21472,125,69,0,43,234,201,3,56,161,120
EA:5A:11:02:8F:90,Flex + IMU,21480,123,66,0,43,208,213,18,238,85,13
EA:5A:11:02:8F:90,Flex + IMU,21520,121,74,0,43,198,15,218,244,160,212
EA:5A:11:02:8F:90,Flex + IMU,21528,124,70,0,43,168,33,222,56,239,242
EA:5A:11:02:8F:90,Flex + IMU,21568,123,73,0,43,179,216,181,20,106,220
EA:5A:11:02:8F:90,Flex + IMU,21616,124,46,0,43,156,119,116,205,217,74
EA:5A:11:02:8F:90,Flex + IMU,21624,123,44,0,43,161,82,93,148,77,99
EA:5A:11:02:8F:90,Flex + IMU,21664,105,78,0,43,64,114,40,119,132,78
EA:5A:11:02:8F:90,Flex + IMU,21672,108,77,0,43,62,94,126,182,49,133
EA:5A:11:02:8F:90,Flex + IMU,21720,104,89,0,43,116,39,27,19,113,178
EA:5A:11:02:8F:90,Flex + IMU,21728,105,84,0,43,43,161,109,94,150,3
EA:5A:11:02:8F:90,Flex + IMU,21768,116,54,0,43,205,156,44,17,162,137
EA:5A:11:02:8F:90,Flex + IMU,21776,120,50,0,43,205,156,44,2,203,106
EA:5A:11:02:8F:90,Flex + IMU,21816,127,47,0,43,26,214,228,169,157,179
EA:5A:11:02:8F:90,Flex + IMU,21824,125,46,0,43,3,1,29,85,237,167
EA:5A:11:02:8F:90,Flex + IMU,21864,126,57,0,43,171,122,1,23,193,205
EA:5A:11:02:8F:90,Flex + IMU,21872,126,57,0,43,171,122,1,57,105,30
EA:5A:11:02:8F:90,Flex + IMU,21912,119,58,0,43,168,219,222,48,158,1
EA:5A:11:02:8F:90,Flex + IMU,21920,121,64,0,43,175,214,248,90,106,203
EA:5A:11:02:8F:90,Flex + IMU,21960,127,68,0,43,233,196,5,1,190,123
EA:5A:11:02:8F:90,Flex + IMU,21968,125,68,0,43,233,196,5,6,191,45
EA:5A:11:02:8F:90,Flex + IMU,22008,132,76,0,43,212,179,180,191,170,94
EA:5A:11:02:8F:90,Flex + IMU,22016,130,72,0,43,98,3,139,30,33,21
EA:5A:11:02:8F:90,Flex + IMU,22056,129,44,0,43,125,37,171,119,47,212
EA:5A:11:02:8F:90,Flex + IMU,22064,129,42,0,43,168,37,171,119,49,70
EA:5A:11:02:8F:90,Flex + IMU,22104,110,73,0,43,197,131,153,195,38,213
EA:5A:11:02:8F:90,Flex + IMU,22112,109,82,0,43,211,252,132,92,163,178
EA:5A:11:02:8F:90,Flex + IMU,22152,109,89,0,43,8,92,18,239,90,52
EA:5A:11:02:8F:90,Flex + IMU,22160,107,84,0,43,8,92,18,239,28,170
EA:5A:11:02:8F:90,Flex + IMU,22200,112,85,0,43,32,39,11,156,51,12
EA:5A:11:02:8F:90,Flex + IMU,22256,123,38,0,43,174,71,82,49,250,146
EA:5A:11:02:8F:90,Flex + IMU,22264,122,33,0,43,144,29,231,50,200,146
EA:5A:11:02:8F:90,Flex + IMU,22304,125,45,0,43,164,148,47,21,63,21
EA:5A:11:02:8F:90,Flex + IMU,22352,123,56,0,43,189,185,163,160,251,154
EA:5A:11:02:8F:90,Flex + IMU,22400,122,56,0,43,127,166,106,185,123,33
EA:5A:11:02:8F:90,Flex + IMU,22408,126,61,0,43,227,130,68,59,161,76
EA:5A:11:02:8F:90,Flex + IMU,22448,123,62,0,43,175,251,230,157,148,219
EA:5A:11:02:8F:90,Flex + IMU,22456,124,65,0,43,126,28,231,178,240,42
EA:5A:11:02:8F:90,Flex + IMU,22496,124,53,0,43,194,78,161,182,11,74
EA:5A:11:02:8F:90,Flex + IMU,22504,125,48,0,43,38,88,228,77,95,143
EA:5A:11:02:8F:90,Flex + IMU,22544,121,42,0,43,31,53,99,204,97,211
EA:5A:11:02:8F:90,Flex + IMU,22552,120,52,0,43,134,72,42,176,234,49
EA:5A:11:02:8F:90,Flex + IMU,22592,115,85,0,43,153,13,146,10,71,60
EA:5A:11:02:8F:90,Flex + IMU,22640,115,79,0,43,173,50,154,97,121,161
EA:5A:11:02:8F:90,Flex + IMU,22648,117,72,0,43,29,26,243,31,197,92
EA:5A:11:02:8F:90,Flex + IMU,22688,125,40,0,43,140,228,210,103,238,53
EA:5A:11:02:8F:90,Flex + IMU,22696,130,41,0,43,87,91,213,69,82,65
EA:5A:11:02:8F:90,Flex + IMU,22736,134,45,0,43,140,204,200,166,191,244
EA:5A:11:02:8F:90,Flex + IMU,22744,132,43,0,43,246,127,234,224,209,40
EA:5A:11:02:8F:90,Flex + IMU,22840,131,62,0,43,193,212,223,9,78,87
EA:5A:11:02:8F:90,Flex + IMU,22848,129,57,0,43,171,187,32,114,186,151
EA:5A:11:02:8F:90,Flex + IMU,22888,129,69,0,43,140,7,246,196,69,98
EA:5A:11:02:8F:90,Flex + IMU,22896,130,64,0,43,112,37,228,195,195,231
EA:5A:11:02:8F:90,Flex + IMU,22936,131,66,0,43,38,113,206,114,10,50
EA:5A:11:02:8F:90,Flex + IMU,22944,132,58,0,43,225,174,185,217,88,194
EA:5A:11:02:8F:90,Flex + IMU,22984,131,33,0,43,66,127,154,101,214,104
EA:5A:11:02:8F:90,Flex + IMU,22992,130,32,0,43,213,30,116,26,142,38
EA:5A:11:02:8F:90,Flex + IMU,23032,121,77,0,43,187,134,168,25,139,146
EA:5A:11:02:8F:90,Flex + IMU,23040,113,71,0,43,254,89,88,17,67,58
EA:5A:11:02:8F:90,Flex + IMU,23080,114,89,0,43,27,169,2,116,164,10
EA:5A:11:02:8F:90,Flex + IMU,23088,114,92,0,43,19,98,248,70,255,87
EA:5A:11:02:8F:90,Flex + IMU,23128,118,72,0,43,56,230,249,149,110,51
EA:5A:11:02:8F:90,Flex + IMU,23176,132,40,0,43,81,12,63,225,67,11
EA:5A:11:02:8F:90,Flex + IMU,23184,135,42,0,43,75,87,19,214,196,55
EA:5A:11:02:8F:90,Flex + IMU,23224,135,43,0,43,85,103,183,139,129,165
EA:5A:11:02:8F:90,Flex + IMU,23232,135,45,0,43,213,225,176,211,218,136
EA:5A:11:02:8F:90,Flex + IMU,23272,134,49,0,43,52,105,171,102,68,234
EA:5A:11:02:8F:90,Flex + IMU,23280,130,49,0,43,230,154,193,94,168,248
EA:5A:11:02:8F:90,Flex + IMU,23328,134,59,0,43,83,102,237,48,195,8
EA:5A:11:02:8F:90,Flex + IMU,23336,128,57,0,43,55,125,255,212,247,130
EA:5A:11:02:8F:90,Flex + IMU,23376,130,57,0,43,115,35,194,145,163,195
EA:5A:11:02:8F:90,Flex + IMU,23424,134,33,0,43,88,185,197,197,60,226
EA:5A:11:02:8F:90,Flex + IMU,23432,132,28,0,43,33,230,192,28,9,159
EA:5A:11:02:8F:90,Flex + IMU,23472,126,37,0,43,228,19,129,105,100,64
EA:5A:11:02:8F:90,Flex + IMU,23480,126,25,0,43,138,19,129,105,41,191
EA:5A:11:02:8F:90,Flex + IMU,23520,125,80,0,43,219,233,123,94,76,183
EA:5A:11:02:8F:90,Flex + IMU,23528,122,92,0,43,146,76,154,129,22,147
EA:5A:11:02:8F:90,Flex + IMU,23568,124,79,0,43,147,41,222,86,37,7
EA:5A:11:02:8F:90,Flex + IMU,23616,133,44,0,43,192,94,86,7,0,26
EA:5A:11:02:8F:90,Flex + IMU,23624,135,43,0,43,140,250,23,202,220,51
EA:5A:11:02:8F:90,Flex + IMU,23664,141,50,0,43,140,128,95,31,82,74
EA:5A:11:02:8F:90,Flex + IMU,23672,138,48,0,43,132,128,95,31,82,220
EA:5A:11:02:8F:90,Flex + IMU,23712,134,52,0,43,232,72,22,98,237,90
EA:5A:11:02:8F:90,Flex + IMU,23720,133,55,0,43,237,79,34,253,154,221
EA:5A:11:02:8F:90,Flex + IMU,23760,135,58,0,43,174,220,206,16,118,72
EA:5A:11:02:8F:90,Flex + IMU,23768,135,54,0,43,205,208,211,16,118,72
EA:5A:11:02:8F:90,Flex + IMU,23808,138,63,0,43,238,180,244,50,64,43
EA:5A:11:02:8F:90,Flex + IMU,23816,139,67,0,43,182,219,240,115,204,15
EA:5A:11:02:8F:90,Flex + IMU,23864,136,61,0,43,126,225,154,160,110,68
EA:5A:11:02:8F:90,Flex + IMU,23872,135,49,0,43,4,28,151,93,44,0
EA:5A:11:02:8F:90,Flex + IMU,23912,128,37,0,43,146,11,103,139,214,130
EA:5A:11:02:8F:90,Flex + IMU,23920,127,51,0,43,157,231,115,202,28,197
EA:5A:11:02:8F:90,Flex + IMU,23960,124,88,0,43,229,158,172,235,133,31
EA:5A:11:02:8F:90,Flex + IMU,23968,122,90,0,43,204,73,136,1,174,200
EA:5A:11:02:8F:90,Flex + IMU,24008,120,85,0,43,129,95,164,6,248,119
EA:5A:11:02:8F:90,Flex + IMU,24016,120,87,0,43,42,77,224,100,35,144
EA:5A:11:02:8F:90,Flex + IMU,24056,131,69,0,43,85,229,43,245,251,27
EA:5A:11:02:8F:90,Flex + IMU,24064,132,61,0,43,84,30,238,168,196,69
EA:5A:11:02:8F:90,Flex + IMU,24104,133,41,0,43,162,72,225,109,93,103
EA:5A:11:02:8F:90,Flex + IMU,24112,134,45,0,43,81,210,76,193,39,53
EA:5A:11:02:8F:90,Flex + IMU,24152,135,49,0,43,83,253,211,47,72,58
EA:5A:11:02:8F:90,Flex + IMU,24160,132,51,0,43,229,68,5,249,171,71
EA:5A:11:02:8F:90,Flex + IMU,24200,136,51,0,43,250,151,215,142,254,187
EA:5A:11:02:8F:90,Flex + IMU,24208,137,58,0,43,175,177,254,215,93,186
EA:5A:11:02:8F:90,Flex + IMU,24248,132,59,0,43,34,135,4,208,18,242
EA:5A:11:02:8F:90,Flex + IMU,24256,132,59,0,43,232,169,9,83,156,216
EA:5A:11:02:8F:90,Flex + IMU,24296,131,71,0,43,113,33,220,169,98,211
EA:5A:11:02:8F:90,Flex + IMU,24304,133,71,0,43,119,57,190,65,209,76
EA:5A:11:02:8F:90,Flex + IMU,24352,129,44,0,43,162,44,181,112,59,192
EA:5A:11:02:8F:90,Flex + IMU,24360,132,41,0,43,68,209,59,190,52,74
EA:5A:11:02:8F:90,Flex + IMU,24400,127,51,0,43,9,116,2,131,69,235
EA:5A:11:02:8F:90,Flex + IMU,24408,127,70,0,43,27,134,43,177,18,157
EA:5A:11:02:8F:90,Flex + IMU,24448,124,83,0,43,214,185,68,212,245,30
EA:5A:11:02:8F:90,Flex + IMU,24456,121,84,0,43,187,183,154,156,177,146
EA:5A:11:02:8F:90,Flex + IMU,24496,121,65,0,43,229,65,35,80,83,109
