Device Address,Exercise,Timestamp,Thumb,Index,Middle,Ring,Acc(x),Acc(y),Acc(z),Gyr(x),Gyr(y),Gyr(z)
FF:13:4E:9E:DF:2A,Flex + IMU,49641,177,136,0,2,22,68,59,80,17,204
FF:13:4E:9E:DF:2A,Flex + IMU,49681,178,136,0,2,27,61,63,85,232,195
FF:13:4E:9E:DF:2A,Flex + IMU,49689,178,136,0,2,24,64,62,74,220,197
FF:13:4E:9E:DF:2A,Flex + IMU,49729,178,136,0,2,24,64,58,67,186,191
FF:13:4E:9E:DF:2A,Flex + IMU,49737,178,136,0,2,24,64,58,91,190,202
FF:13:4E:9E:DF:2A,Flex + IMU,49777,177,136,0,2,24,65,58,83,197,182
FF:13:4E:9E:DF:2A,Flex + IMU,49785,177,136,0,2,24,65,65,74,198,190
FF:13:4E:9E:DF:2A,Flex + IMU,49825,177,136,0,2,23,64,61,75,234,179
FF:13:4E:9E:DF:2A,Flex + IMU,49881,177,136,0,2,24,63,59,73,3,193
FF:13:4E:9E:DF:2A,Flex + IMU,49889,177,137,0,2,29,59,59,70,253,203
FF:13:4E:9E:DF:2A,Flex + IMU,49929,177,137,0,2,20,63,61,67,4,208
FF:13:4E:9E:DF:2A,Flex + IMU,49937,177,137,0,2,20,63,61,60,13,211
FF:13:4E:9E:DF:2A,Flex + IMU,49977,178,137,0,2,28,64,59,66,253,189
FF:13:4E:9E:DF:2A,Flex + IMU,49985,178,137,0,2,26,62,66,76,19,196
FF:13:4E:9E:DF:2A,Flex + IMU,50025,178,138,0,2,25,65,60,72,21,221
FF:13:4E:9E:DF:2A,Flex + IMU,50033,178,138,0,2,25,65,57,69,21,228
FF:13:4E:9E:DF:2A,Flex + IMU,50073,178,138,0,2,21,62,63,98,209,196
FF:13:4E:9E:DF:2A,Flex + IMU,50081,178,138,0,2,22,64,63,79,208,188
FF:13:4E:9E:DF:2A,Flex + IMU,50121,178,139,0,2,23,65,61,68,16,198
FF:13:4E:9E:DF:2A,Flex + IMU,50129,178,139,0,2,24,59,61,60,10,201
FF:13:4E:9E:DF:2A,Flex + IMU,50169,178,139,0,2,19,57,56,69,232,199
FF:13:4E:9E:DF:2A,Flex + IMU,50177,178,138,0,2,18,59,59,89,222,198
FF:13:4E:9E:DF:2A,Flex + IMU,50217,178,138,0,2,21,61,59,57,215,213
FF:13:4E:9E:DF:2A,Flex + IMU,50225,178,138,0,2,24,60,59,61,211,216
