Device Address,Exercise,Timestamp,Thumb,Index,Middle,Ring,Acc(x),Acc(y),Acc(z),Gyr(x),Gyr(y),Gyr(z)
D4:72:11:8B:5A:4D,Flex + IMU,15216,141,105,0,80,237,54,142,64,194,104
D4:72:11:8B:5A:4D,Flex + IMU,15264,141,105,0,80,239,66,145,24,16,26
D4:72:11:8B:5A:4D,Flex + IMU,15272,141,105,0,80,243,66,149,26,16,26
D4:72:11:8B:5A:4D,Flex + IMU,15312,141,105,0,80,232,46,150,54,82,95
D4:72:11:8B:5A:4D,Flex + IMU,15320,141,105,0,80,238,57,144,254,101,110
D4:72:11:8B:5A:4D,Flex + IMU,15360,141,105,0,80,236,53,149,106,176,101
D4:72:11:8B:5A:4D,Flex + IMU,15368,141,105,0,80,236,53,149,106,184,107
D4:72:11:8B:5A:4D,Flex + IMU,15408,141,105,0,81,241,65,132,78,144,111
D4:72:11:8B:5A:4D,Flex + IMU,15416,141,105,0,81,237,60,137,88,119,94
D4:72:11:8B:5A:4D,Flex + IMU,15456,141,105,0,81,240,69,141,188,100,114
D4:72:11:8B:5A:4D,Flex + IMU,15464,141,105,0,81,240,60,134,244,112,110
D4:72:11:8B:5A:4D,Flex + IMU,15504,141,105,0,81,241,62,136,71,112,126
D4:72:11:8B:5A:4D,Flex + IMU,15512,141,105,0,81,240,64,141,104,96,126
D4:72:11:8B:5A:4D,Flex + IMU,15560,141,105,0,81,237,61,143,157,42,63
D4:72:11:8B:5A:4D,Flex + IMU,15568,141,105,0,81,230,52,145,149,41,60
D4:72:11:8B:5A:4D,Flex + IMU,15608,141,105,0,81,229,47,152,150,84,87
D4:72:11:8B:5A:4D,Flex + IMU,15616,141,105,0,81,238,45,147,141,110,81
D4:72:11:8B:5A:4D,Flex + IMU,15704,141,105,0,81,234,49,150,106,221,235
D4:72:11:8B:5A:4D,Flex + IMU,15712,141,105,0,81,237,39,147,92,11,1
D4:72:11:8B:5A:4D,Flex + IMU,15752,141,105,0,81,229,70,131,22,38,221
D4:72:11:8B:5A:4D,Flex + IMU,15760,141,105,0,81,235,62,134,150,18,191
D4:72:11:8B:5A:4D,Flex + IMU,15800,141,105,0,81,238,41,149,73,130,179
D4:72:11:8B:5A:4D,Flex + IMU,15808,141,105,0,81,228,36,154,70,116,172
D4:72:11:8B:5A:4D,Flex + IMU,15848,141,104,0,81,236,51,131,21,80,200
D4:72:11:8B:5A:4D,Flex + IMU,15856,141,104,0,81,234,70,121,0,58,189
D4:72:11:8B:5A:4D,Flex + IMU,15896,141,104,0,81,222,10,164,199,107,233
D4:72:11:8B:5A:4D,Flex + IMU,15904,141,105,0,81,222,254,168,199,107,233
D4:72:11:8B:5A:4D,Flex + IMU,15944,141,105,0,81,245,63,115,60,55,32
D4:72:11:8B:5A:4D,Flex + IMU,15952,141,104,0,81,246,55,122,215,10,2
D4:72:11:8B:5A:4D,Flex + IMU,15992,141,105,0,81,246,27,144,39,29,21
D4:72:11:8B:5A:4D,Flex + IMU,16000,141,105,0,81,243,27,144,91,70,47
D4:72:11:8B:5A:4D,Flex + IMU,16048,141,105,0,81,250,57,128,205,225,147
D4:72:11:8B:5A:4D,Flex + IMU,16056,141,105,0,81,249,60,115,19,232,156
D4:72:11:8B:5A:4D,Flex + IMU,16096,141,105,0,81,253,27,130,232,199,223
D4:72:11:8B:5A:4D,Flex + IMU,16104,141,105,0,81,253,27,130,218,128,226
D4:72:11:8B:5A:4D,Flex + IMU,16144,141,105,0,81,240,20,130,236,134,17
D4:72:11:8B:5A:4D,Flex + IMU,16152,141,104,0,81,232,32,123,126,134,20
D4:72:11:8B:5A:4D,Flex + IMU,16192,141,104,0,81,230,0,136,21,130,83
D4:72:11:8B:5A:4D,Flex + IMU,16200,141,104,0,81,223,1,134,78,142,67
D4:72:11:8B:5A:4D,Flex + IMU,16240,141,104,0,80,210,77,70,35,161,178
D4:72:11:8B:5A:4D,Flex + IMU,16248,141,104,0,80,209,59,80,201,229,142
D4:72:11:8B:5A:4D,Flex + IMU,16288,141,104,0,80,191,23,149,96,99,128
D4:72:11:8B:5A:4D,Flex + IMU,16296,141,104,0,80,216,22,146,206,60,107
D4:72:11:8B:5A:4D,Flex + IMU,16336,141,104,0,80,166,246,202,202,56,21
D4:72:11:8B:5A:4D,Flex + IMU,16344,141,104,0,80,164,236,204,107,83,76
D4:72:11:8B:5A:4D,Flex + IMU,16384,141,104,0,79,211,239,136,228,117,122
D4:72:11:8B:5A:4D,Flex + IMU,16432,141,103,0,79,7,3,103,241,109,225
D4:72:11:8B:5A:4D,Flex + IMU,16440,141,104,0,79,17,16,100,178,109,225
D4:72:11:8B:5A:4D,Flex + IMU,16480,141,103,0,79,15,62,138,204,147,210
D4:72:11:8B:5A:4D,Flex + IMU,16488,141,104,0,79,14,72,147,39,126,160
D4:72:11:8B:5A:4D,Flex + IMU,16528,141,104,0,79,1,55,154,215,108,119
D4:72:11:8B:5A:4D,Flex + IMU,16536,141,104,0,80,254,60,150,215,108,119
D4:72:11:8B:5A:4D,Flex + IMU,16584,141,104,0,80,236,45,143,22,200,175
D4:72:11:8B:5A:4D,Flex + IMU,16592,141,104,0,80,250,54,120,10,193,167
D4:72:11:8B:5A:4D,Flex + IMU,16632,141,104,0,80,231,51,107,174,215,137
D4:72:11:8B:5A:4D,Flex + IMU,16640,141,104,0,80,217,40,107,174,215,130
D4:72:11:8B:5A:4D,Flex + IMU,16680,141,104,0,79,168,17,145,158,181,71
D4:72:11:8B:5A:4D,Flex + IMU,16688,141,104,0,79,156,16,144,58,80,5
D4:72:11:8B:5A:4D,Flex + IMU,16728,141,103,0,79,135,206,121,27,123,97
D4:72:11:8B:5A:4D,Flex + IMU,16736,141,103,0,79,135,206,121,169,101,121
D4:72:11:8B:5A:4D,Flex + IMU,16776,141,103,0,78,149,152,144,195,8,75
D4:72:11:8B:5A:4D,Flex + IMU,16784,141,103,0,78,154,163,142,239,96,100
D4:72:11:8B:5A:4D,Flex + IMU,16824,141,103,0,77,156,208,148,141,38,184
D4:72:11:8B:5A:4D,Flex + IMU,16832,141,102,0,77,163,197,155,187,160,14
D4:72:11:8B:5A:4D,Flex + IMU,16920,141,102,0,76,215,235,117,34,16,191
D4:72:11:8B:5A:4D,Flex + IMU,16928,141,102,0,76,223,252,113,43,212,175
D4:72:11:8B:5A:4D,Flex + IMU,16968,141,102,0,76,236,239,133,254,84,84
D4:72:11:8B:5A:4D,Flex + IMU,16976,141,102,0,76,229,233,138,66,80,87
D4:72:11:8B:5A:4D,Flex + IMU,17016,141,102,0,76,199,235,153,179,164,83
D4:72:11:8B:5A:4D,Flex + IMU,17024,141,102,0,76,196,235,152,143,171,100
D4:72:11:8B:5A:4D,Flex + IMU,17064,141,102,0,76,187,225,136,182,163,129
D4:72:11:8B:5A:4D,Flex + IMU,17072,141,102,0,76,185,223,133,185,215,162
D4:72:11:8B:5A:4D,Flex + IMU,17120,141,102,0,77,168,201,124,232,42,193
D4:72:11:8B:5A:4D,Flex + IMU,17128,141,102,0,77,164,202,123,173,5,196
D4:72:11:8B:5A:4D,Flex + IMU,17168,141,102,0,77,173,198,116,227,187,243
D4:72:11:8B:5A:4D,Flex + IMU,17176,141,102,0,77,165,204,126,43,9,243
D4:72:11:8B:5A:4D,Flex + IMU,17216,141,102,0,77,164,231,121,217,13,183
D4:72:11:8B:5A:4D,Flex + IMU,17224,141,102,0,77,149,225,118,6,237,181
D4:72:11:8B:5A:4D,Flex + IMU,17264,141,102,0,77,126,177,128,123,218,113
D4:72:11:8B:5A:4D,Flex + IMU,17272,141,102,0,77,129,182,118,123,202,61
D4:72:11:8B:5A:4D,Flex + IMU,17312,141,102,0,77,128,190,115,9,106,186
D4:72:11:8B:5A:4D,Flex + IMU,17320,141,102,0,77,126,191,127,216,69,169
D4:72:11:8B:5A:4D,Flex + IMU,17360,141,102,0,76,115,175,138,244,218,172
D4:72:11:8B:5A:4D,Flex + IMU,17368,141,102,0,76,115,175,133,206,230,192
D4:72:11:8B:5A:4D,Flex + IMU,17408,141,102,0,76,129,151,162,82,55,55
D4:72:11:8B:5A:4D,Flex + IMU,17416,141,101,0,76,136,145,152,72,229,114
D4:72:11:8B:5A:4D,Flex + IMU,17456,141,101,0,76,175,193,114,56,154,231
D4:72:11:8B:5A:4D,Flex + IMU,17464,141,101,0,76,183,195,116,88,188,253
D4:72:11:8B:5A:4D,Flex + IMU,17504,141,101,0,75,205,215,118,158,94,187
D4:72:11:8B:5A:4D,Flex + IMU,17512,141,101,0,75,205,228,120,195,39,149
D4:72:11:8B:5A:4D,Flex + IMU,17552,141,101,0,75,199,239,143,201,57,83
D4:72:11:8B:5A:4D,Flex + IMU,17560,141,101,0,75,197,237,144,27,103,79
D4:72:11:8B:5A:4D,Flex + IMU,17608,141,101,0,76,179,208,148,241,244,154
D4:72:11:8B:5A:4D,Flex + IMU,17616,141,101,0,76,178,219,139,247,55,148
D4:72:11:8B:5A:4D,Flex + IMU,17656,141,102,0,76,175,198,130,152,197,199
D4:72:11:8B:5A:4D,Flex + IMU,17664,141,102,0,76,169,186,128,151,199,214
D4:72:11:8B:5A:4D,Flex + IMU,17704,141,102,0,76,158,172,116,166,197,13
D4:72:11:8B:5A:4D,Flex + IMU,17712,141,102,0,76,157,183,109,85,199,12
D4:72:11:8B:5A:4D,Flex + IMU,17752,141,102,0,76,157,193,138,15,221,12
D4:72:11:8B:5A:4D,Flex + IMU,17760,141,102,0,76,155,186,134,248,35,63
D4:72:11:8B:5A:4D,Flex + IMU,17800,141,102,0,76,114,206,98,58,2,30
D4:72:11:8B:5A:4D,Flex + IMU,17808,141,102,0,76,108,191,100,138,2,30
D4:72:11:8B:5A:4D,Flex + IMU,17848,141,102,0,76,99,194,115,73,246,225
D4:72:11:8B:5A:4D,Flex + IMU,17856,141,102,0,76,98,182,128,62,235,182
D4:72:11:8B:5A:4D,Flex + IMU,17896,141,102,0,76,102,169,139,57,234,200
D4:72:11:8B:5A:4D,Flex + IMU,17904,141,102,0,76,103,169,139,57,19,215
D4:72:11:8B:5A:4D,Flex + IMU,17944,141,101,0,76,128,181,109,64,191,224
D4:72:11:8B:5A:4D,Flex + IMU,17992,141,101,0,75,146,166,137,183,210,169
D4:72:11:8B:5A:4D,Flex + IMU,18000,141,101,0,75,147,174,134,19,240,179
D4:72:11:8B:5A:4D,Flex + IMU,18040,141,101,0,75,147,202,149,132,82,161
D4:72:11:8B:5A:4D,Flex + IMU,18048,141,101,0,75,154,201,151,235,203,186
D4:72:11:8B:5A:4D,Flex + IMU,18088,141,101,0,75,200,209,138,2,198,229
D4:72:11:8B:5A:4D,Flex + IMU,18096,141,101,0,75,204,200,137,215,201,206
D4:72:11:8B:5A:4D,Flex + IMU,18144,141,101,0,75,188,245,137,177,157,58
D4:72:11:8B:5A:4D,Flex + IMU,18152,141,101,0,75,179,241,142,30,224,81
D4:72:11:8B:5A:4D,Flex + IMU,18192,141,101,0,75,159,210,134,39,83,219
D4:72:11:8B:5A:4D,Flex + IMU,18200,141,101,0,75,155,206,133,97,104,239
D4:72:11:8B:5A:4D,Flex + IMU,18240,141,101,0,76,163,209,119,122,181,38
D4:72:11:8B:5A:4D,Flex + IMU,18248,141,101,0,76,165,197,119,204,121,23
D4:72:11:8B:5A:4D,Flex + IMU,18288,141,102,0,76,148,194,130,111,229,247
D4:72:11:8B:5A:4D,Flex + IMU,18296,141,102,0,76,149,200,127,125,210,234
D4:72:11:8B:5A:4D,Flex + IMU,18336,141,102,0,76,138,180,144,124,201,36
D4:72:11:8B:5A:4D,Flex + IMU,18344,141,102,0,76,139,185,137,136,233,67
D4:72:11:8B:5A:4D,Flex + IMU,18384,141,102,0,76,132,209,108,216,145,106
D4:72:11:8B:5A:4D,Flex + IMU,18392,141,102,0,76,126,204,116,34,41,118
D4:72:11:8B:5A:4D,Flex + IMU,18432,141,102,0,76,98,182,113,91,18,131
D4:72:11:8B:5A:4D,Flex + IMU,18440,141,102,0,76,102,187,111,91,18,131
D4:72:11:8B:5A:4D,Flex + IMU,18480,141,102,0,76,113,185,113,120,19,83
D4:72:11:8B:5A:4D,Flex + IMU,18488,141,102,0,76,113,175,129,141,217,63
D4:72:11:8B:5A:4D,Flex + IMU,18528,141,102,0,76,113,145,133,232,20,165
D4:72:11:8B:5A:4D,Flex + IMU,18536,141,101,0,76,113,145,133,175,110,193
D4:72:11:8B:5A:4D,Flex + IMU,18576,141,101,0,75,129,144,140,37,172,27
D4:72:11:8B:5A:4D,Flex + IMU,18584,141,101,0,75,134,147,138,119,24,31
D4:72:11:8B:5A:4D,Flex + IMU,18624,141,101,0,75,165,196,107,124,214,100
D4:72:11:8B:5A:4D,Flex + IMU,18632,141,101,0,75,161,192,118,231,198,108
D4:72:11:8B:5A:4D,Flex + IMU,18680,141,101,0,75,180,201,131,188,62,122
D4:72:11:8B:5A:4D,Flex + IMU,18688,141,101,0,75,181,214,122,203,54,121
D4:72:11:8B:5A:4D,Flex + IMU,18728,141,101,0,75,177,207,131,62,21,58
D4:72:11:8B:5A:4D,Flex + IMU,18736,141,101,0,75,172,201,140,119,65,49
D4:72:11:8B:5A:4D,Flex + IMU,18776,141,101,0,75,155,189,138,223,185,79
D4:72:11:8B:5A:4D,Flex + IMU,18784,141,101,0,75,153,174,143,13,236,108
D4:72:11:8B:5A:4D,Flex + IMU,18824,141,101,0,75,136,177,128,211,246,197
D4:72:11:8B:5A:4D,Flex + IMU,18832,141,101,0,75,140,173,118,179,6,197
D4:72:11:8B:5A:4D,Flex + IMU,18872,141,101,0,76,142,185,97,206,222,94
D4:72:11:8B:5A:4D,Flex + IMU,18880,141,101,0,76,136,187,103,25,127,70
D4:72:11:8B:5A:4D,Flex + IMU,18920,141,101,0,76,116,159,136,30,56,38
D4:72:11:8B:5A:4D,Flex + IMU,18928,141,101,0,76,118,157,135,254,85,63
D4:72:11:8B:5A:4D,Flex + IMU,18968,141,102,0,76,111,172,107,187,112,83
D4:72:11:8B:5A:4D,Flex + IMU,18976,141,102,0,76,113,162,112,228,91,86
D4:72:11:8B:5A:4D,Flex + IMU,19016,141,102,0,76,110,169,120,70,180,23
D4:72:11:8B:5A:4D,Flex + IMU,19024,141,102,0,76,107,173,121,66,159,254
D4:72:11:8B:5A:4D,Flex + IMU,19064,141,102,0,76,119,182,113,252,204,223
D4:72:11:8B:5A:4D,Flex + IMU,19072,141,102,0,76,118,166,113,252,204,223
D4:72:11:8B:5A:4D,Flex + IMU,19112,141,101,0,76,124,157,137,179,70,227
D4:72:11:8B:5A:4D,Flex + IMU,19120,141,101,0,76,127,166,128,60,136,239
