Device Address,Exercise,Timestamp,Thumb,Index,Middle,Ring,Acc(x),Acc(y),Acc(z),Gyr(x),Gyr(y),Gyr(z)
EA:EB:C9:B6:1F:5A,Flex + IMU,42832,92,87,0,159,187,251,78,34,15,100
EA:EB:C9:B6:1F:5A,Flex + IMU,42840,92,87,0,159,185,2,75,188,17,120
EA:EB:C9:B6:1F:5A,Flex + IMU,42888,92,87,0,159,163,9,63,133,201,76
EA:EB:C9:B6:1F:5A,Flex + IMU,42896,92,87,0,159,164,12,58,133,162,64
EA:EB:C9:B6:1F:5A,Flex + IMU,42936,92,87,0,159,169,34,47,115,107,29
EA:EB:C9:B6:1F:5A,Flex + IMU,42944,92,87,0,159,163,38,52,130,191,248
EA:EB:C9:B6:1F:5A,Flex + IMU,42984,92,87,0,159,180,44,60,4,97,80
EA:EB:C9:B6:1F:5A,Flex + IMU,42992,92,87,0,159,169,46,73,13,38,142
EA:EB:C9:B6:1F:5A,Flex + IMU,43032,92,87,0,159,163,34,71,249,19,105
EA:EB:C9:B6:1F:5A,Flex + IMU,43040,92,87,0,159,164,33,62,231,216,158
EA:EB:C9:B6:1F:5A,Flex + IMU,43080,92,86,0,159,146,49,78,105,84,45
EA:EB:C9:B6:1F:5A,Flex + IMU,43088,92,86,0,159,141,34,63,112,16,131
EA:EB:C9:B6:1F:5A,Flex + IMU,43128,90,86,0,159,164,46,45,168,86,176
EA:EB:C9:B6:1F:5A,Flex + IMU,43136,90,86,0,159,172,34,55,168,86,176
EA:EB:C9:B6:1F:5A,Flex + IMU,43176,88,86,0,159,171,18,49,96,237,109
EA:EB:C9:B6:1F:5A,Flex + IMU,43184,88,86,0,159,149,30,51,179,168,137
EA:EB:C9:B6:1F:5A,Flex + IMU,43224,87,86,0,159,161,242,61,12,229,158
EA:EB:C9:B6:1F:5A,Flex + IMU,43232,87,86,0,159,161,242,61,228,106,223
EA:EB:C9:B6:1F:5A,Flex + IMU,43272,87,86,0,159,156,22,56,140,201,204
EA:EB:C9:B6:1F:5A,Flex + IMU,43280,87,86,0,159,155,37,62,162,0,184
EA:EB:C9:B6:1F:5A,Flex + IMU,43320,87,86,0,159,164,12,80,63,221,119
EA:EB:C9:B6:1F:5A,Flex + IMU,43328,87,86,0,159,166,8,72,72,222,95
EA:EB:C9:B6:1F:5A,Flex + IMU,43368,87,86,0,159,183,1,65,224,120,66
EA:EB:C9:B6:1F:5A,Flex + IMU,43376,87,86,0,159,175,15,72,120,20,98
EA:EB:C9:B6:1F:5A,Flex + IMU,43424,87,86,0,159,146,27,73,182,13,139
EA:EB:C9:B6:1F:5A,Flex + IMU,43432,87,86,0,159,163,16,77,17,103,175
EA:EB:C9:B6:1F:5A,Flex + IMU,43472,87,86,0,159,163,0,100,4,127,183
EA:EB:C9:B6:1F:5A,Flex + IMU,43480,87,86,0,159,168,0,102,179,157,193
EA:EB:C9:B6:1F:5A,Flex + IMU,43520,88,86,0,159,190,13,71,75,99,97
EA:EB:C9:B6:1F:5A,Flex + IMU,43528,88,86,0,159,182,24,72,61,223,148
EA:EB:C9:B6:1F:5A,Flex + IMU,43568,88,86,0,159,160,17,83,127,138,75
EA:EB:C9:B6:1F:5A,Flex + IMU,43576,88,86,0,159,165,4,82,161,230,71
EA:EB:C9:B6:1F:5A,Flex + IMU,43616,88,86,0,159,171,249,63,222,182,38
EA:EB:C9:B6:1F:5A,Flex + IMU,43624,88,86,0,159,169,253,66,140,87,81
EA:EB:C9:B6:1F:5A,Flex + IMU,43664,88,86,0,159,157,17,72,142,235,90
EA:EB:C9:B6:1F:5A,Flex + IMU,43672,88,86,0,159,160,5,65,4,218,90
EA:EB:C9:B6:1F:5A,Flex + IMU,43712,88,86,0,159,142,250,74,145,58,20
EA:EB:C9:B6:1F:5A,Flex + IMU,43720,88,86,0,159,137,253,68,43,39,47
EA:EB:C9:B6:1F:5A,Flex + IMU,43760,88,86,0,159,124,253,72,26,33,100
EA:EB:C9:B6:1F:5A,Flex + IMU,43768,87,86,0,159,124,253,72,26,243,139
EA:EB:C9:B6:1F:5A,Flex + IMU,43808,83,85,0,159,108,1,71,128,226,30
EA:EB:C9:B6:1F:5A,Flex + IMU,43816,82,85,0,159,96,10,50,202,124,241
EA:EB:C9:B6:1F:5A,Flex + IMU,43856,78,84,0,159,98,31,46,209,34,72
EA:EB:C9:B6:1F:5A,Flex + IMU,43864,77,84,0,159,98,38,44,194,235,59
EA:EB:C9:B6:1F:5A,Flex + IMU,43904,75,84,0,159,95,19,82,12,160,127
EA:EB:C9:B6:1F:5A,Flex + IMU,43912,75,84,0,159,87,28,78,82,47,80
EA:EB:C9:B6:1F:5A,Flex + IMU,43960,76,83,0,159,99,29,65,87,205,237
EA:EB:C9:B6:1F:5A,Flex + IMU,43968,76,83,0,159,92,44,70,32,153,154
EA:EB:C9:B6:1F:5A,Flex + IMU,44008,77,83,0,159,70,54,88,109,248,78
EA:EB:C9:B6:1F:5A,Flex + IMU,44016,78,83,0,159,64,32,88,112,27,233
EA:EB:C9:B6:1F:5A,Flex + IMU,44056,80,83,0,159,72,16,84,93,41,112
EA:EB:C9:B6:1F:5A,Flex + IMU,44064,80,83,0,159,67,24,85,205,9,2
EA:EB:C9:B6:1F:5A,Flex + IMU,44104,82,84,0,159,55,18,81,29,114,66
EA:EB:C9:B6:1F:5A,Flex + IMU,44112,82,84,0,159,58,6,80,42,103,90
EA:EB:C9:B6:1F:5A,Flex + IMU,44152,84,84,0,159,85,252,69,39,114,233
EA:EB:C9:B6:1F:5A,Flex + IMU,44200,85,84,0,159,89,17,54,245,254,203
EA:EB:C9:B6:1F:5A,Flex + IMU,44208,85,84,0,159,85,22,63,184,24,253
EA:EB:C9:B6:1F:5A,Flex + IMU,44248,86,84,0,159,77,10,71,103,190,5
EA:EB:C9:B6:1F:5A,Flex + IMU,44256,86,84,0,159,78,20,76,158,31,123
EA:EB:C9:B6:1F:5A,Flex + IMU,44296,87,85,0,159,97,252,97,132,239,123
EA:EB:C9:B6:1F:5A,Flex + IMU,44304,87,85,0,159,113,2,115,132,239,123
EA:EB:C9:B6:1F:5A,Flex + IMU,44344,87,85,0,159,77,3,147,39,221,36
EA:EB:C9:B6:1F:5A,Flex + IMU,44352,87,85,0,159,85,14,134,148,61,100
EA:EB:C9:B6:1F:5A,Flex + IMU,44392,87,85,0,159,91,254,83,253,143,113
EA:EB:C9:B6:1F:5A,Flex + IMU,44400,87,85,0,159,91,254,83,12,155,155
EA:EB:C9:B6:1F:5A,Flex + IMU,44440,87,85,0,159,82,48,37,181,196,27
EA:EB:C9:B6:1F:5A,Flex + IMU,44496,87,85,0,159,79,10,49,128,213,14
EA:EB:C9:B6:1F:5A,Flex + IMU,44504,87,85,0,159,79,10,49,218,116,11
EA:EB:C9:B6:1F:5A,Flex + IMU,44544,87,85,0,159,65,26,48,3,71,154
EA:EB:C9:B6:1F:5A,Flex + IMU,44552,87,85,0,159,62,31,55,19,100,173
EA:EB:C9:B6:1F:5A,Flex + IMU,44592,87,85,0,159,66,3,52,96,106,25
EA:EB:C9:B6:1F:5A,Flex + IMU,44600,87,85,0,159,69,2,52,45,87,46
EA:EB:C9:B6:1F:5A,Flex + IMU,44640,87,85,0,159,91,12,77,117,22,135
EA:EB:C9:B6:1F:5A,Flex + IMU,44648,87,85,0,159,96,4,79,145,204,22
EA:EB:C9:B6:1F:5A,Flex + IMU,44688,88,85,0,159,102,17,71,49,178,152
EA:EB:C9:B6:1F:5A,Flex + IMU,44696,88,85,0,159,110,20,77,62,152,198
EA:EB:C9:B6:1F:5A,Flex + IMU,44736,88,85,0,159,114,6,80,90,174,9
EA:EB:C9:B6:1F:5A,Flex + IMU,44744,88,85,0,159,109,13,84,51,162,250
EA:EB:C9:B6:1F:5A,Flex + IMU,44784,88,85,0,159,109,7,67,149,238,42
EA:EB:C9:B6:1F:5A,Flex + IMU,44792,88,85,0,159,113,8,67,121,75,66
EA:EB:C9:B6:1F:5A,Flex + IMU,44832,88,85,0,159,133,14,66,111,199,122
EA:EB:C9:B6:1F:5A,Flex + IMU,44840,88,85,0,159,135,19,68,118,199,122
EA:EB:C9:B6:1F:5A,Flex + IMU,44880,88,85,0,159,138,23,72,225,96,203
EA:EB:C9:B6:1F:5A,Flex + IMU,44888,88,85,0,159,137,9,66,9,1,197
EA:EB:C9:B6:1F:5A,Flex + IMU,44928,88,85,0,159,129,23,44,229,93,187
EA:EB:C9:B6:1F:5A,Flex + IMU,44936,88,85,0,159,126,23,47,229,93,173
EA:EB:C9:B6:1F:5A,Flex + IMU,44984,88,85,0,159,129,6,63,179,146,140
EA:EB:C9:B6:1F:5A,Flex + IMU,44992,88,85,0,159,132,6,56,134,252,120
EA:EB:C9:B6:1F:5A,Flex + IMU,45032,88,85,0,159,148,22,38,47,157,58
EA:EB:C9:B6:1F:5A,Flex + IMU,45040,88,85,0,159,140,32,38,47,105,230
EA:EB:C9:B6:1F:5A,Flex + IMU,45080,88,85,0,159,138,252,72,154,121,156
EA:EB:C9:B6:1F:5A,Flex + IMU,45088,88,85,0,159,144,253,64,15,173,196
EA:EB:C9:B6:1F:5A,Flex + IMU,45128,88,85,0,159,162,31,37,121,210,23
EA:EB:C9:B6:1F:5A,Flex + IMU,45136,88,85,0,159,162,40,42,219,134,11
EA:EB:C9:B6:1F:5A,Flex + IMU,45176,88,85,0,159,151,20,54,86,14,191
EA:EB:C9:B6:1F:5A,Flex + IMU,45184,88,85,0,159,159,20,54,99,89,185
EA:EB:C9:B6:1F:5A,Flex + IMU,45224,88,85,0,159,184,8,56,65,251,106
EA:EB:C9:B6:1F:5A,Flex + IMU,45232,88,85,0,159,187,13,56,211,181,195
EA:EB:C9:B6:1F:5A,Flex + IMU,45272,88,85,0,159,178,40,70,165,133,251
EA:EB:C9:B6:1F:5A,Flex + IMU,45280,88,85,0,159,171,16,75,57,105,226
EA:EB:C9:B6:1F:5A,Flex + IMU,45320,88,85,0,159,176,7,73,149,87,179
EA:EB:C9:B6:1F:5A,Flex + IMU,45328,88,85,0,159,180,13,67,127,42,136
EA:EB:C9:B6:1F:5A,Flex + IMU,45368,89,85,0,159,181,11,46,104,74,45
EA:EB:C9:B6:1F:5A,Flex + IMU,45376,88,85,0,159,173,0,49,158,112,56
EA:EB:C9:B6:1F:5A,Flex + IMU,45416,89,85,0,159,193,252,78,39,53,28
EA:EB:C9:B6:1F:5A,Flex + IMU,45424,89,85,0,159,198,252,85,42,223,230
EA:EB:C9:B6:1F:5A,Flex + IMU,45464,89,85,0,159,205,255,94,189,181,163
EA:EB:C9:B6:1F:5A,Flex + IMU,45472,89,85,0,159,208,2,87,189,181,163
EA:EB:C9:B6:1F:5A,Flex + IMU,45520,89,85,0,159,221,252,72,33,4,58
EA:EB:C9:B6:1F:5A,Flex + IMU,45528,89,85,0,159,225,250,70,254,202,50
EA:EB:C9:B6:1F:5A,Flex + IMU,45568,89,85,0,159,237,14,75,24,83,105
EA:EB:C9:B6:1F:5A,Flex + IMU,45576,89,85,0,159,235,21,81,24,83,105
EA:EB:C9:B6:1F:5A,Flex + IMU,45616,89,85,0,159,233,6,77,137,20,41
EA:EB:C9:B6:1F:5A,Flex + IMU,45624,89,85,0,159,246,10,68,45,31,83
EA:EB:C9:B6:1F:5A,Flex + IMU,45664,89,85,0,159,228,61,99,172,64,213
EA:EB:C9:B6:1F:5A,Flex + IMU,45672,89,85,0,159,228,61,99,252,61,24
EA:EB:C9:B6:1F:5A,Flex + IMU,45712,89,85,0,159,224,42,78,149,185,143
EA:EB:C9:B6:1F:5A,Flex + IMU,45720,89,85,0,159,217,48,79,253,150,101
EA:EB:C9:B6:1F:5A,Flex + IMU,45760,89,85,0,159,183,9,49,128,100,17
EA:EB:C9:B6:1F:5A,Flex + IMU,45768,89,85,0,159,174,1,56,237,107,237
EA:EB:C9:B6:1F:5A,Flex + IMU,45808,89,85,0,159,159,242,50,18,135,39
EA:EB:C9:B6:1F:5A,Flex + IMU,45816,89,85,0,159,154,238,53,206,222,196
EA:EB:C9:B6:1F:5A,Flex + IMU,45856,89,85,0,159,175,1,38,10,218,69
EA:EB:C9:B6:1F:5A,Flex + IMU,45864,89,85,0,159,174,255,41,103,238,54
EA:EB:C9:B6:1F:5A,Flex + IMU,45904,89,85,0,159,170,248,62,38,104,236
EA:EB:C9:B6:1F:5A,Flex + IMU,45912,89,85,0,159,160,251,60,26,77,196
EA:EB:C9:B6:1F:5A,Flex + IMU,45952,89,85,0,159,143,240,69,242,177,205
EA:EB:C9:B6:1F:5A,Flex + IMU,45960,89,85,0,159,136,236,72,209,163,146
EA:EB:C9:B6:1F:5A,Flex + IMU,46008,89,85,0,159,148,233,61,252,235,91
