Device Address,Exercise,Timestamp,Thumb,Index,Middle,Ring,Acc(x),Acc(y),Acc(z),Gyr(x),Gyr(y),Gyr(z)
D4:72:11:8B:5A:4D,Flex + IMU,9936,141,104,0,78,110,147,180,10,82,185
D4:72:11:8B:5A:4D,Flex + IMU,9944,141,104,0,78,108,139,197,49,232,122
D4:72:11:8B:5A:4D,Flex + IMU,10032,141,104,0,78,98,126,213,39,108,117
D4:72:11:8B:5A:4D,Flex + IMU,10040,142,104,0,78,90,121,215,170,112,92
D4:72:11:8B:5A:4D,Flex + IMU,10080,142,104,0,78,87,68,217,169,210,38
D4:72:11:8B:5A:4D,Flex + IMU,10128,141,104,0,78,95,89,205,37,4,89
D4:72:11:8B:5A:4D,Flex + IMU,10136,142,104,0,78,95,91,197,16,254,95
D4:72:11:8B:5A:4D,Flex + IMU,10176,142,104,0,78,85,81,226,45,31,40
D4:72:11:8B:5A:4D,Flex + IMU,10224,142,104,0,78,90,122,205,110,40,25
D4:72:11:8B:5A:4D,Flex + IMU,10232,142,104,0,78,87,108,213,228,33,22
D4:72:11:8B:5A:4D,Flex + IMU,10272,141,104,0,78,84,93,212,211,161,1
D4:72:11:8B:5A:4D,Flex + IMU,10280,142,104,0,78,87,92,214,217,156,254
D4:72:11:8B:5A:4D,Flex + IMU,10320,142,104,0,78,75,77,216,196,11,253
D4:72:11:8B:5A:4D,Flex + IMU,10328,142,104,0,78,83,60,213,121,56,33
D4:72:11:8B:5A:4D,Flex + IMU,10376,142,104,0,78,80,94,204,251,65,18
D4:72:11:8B:5A:4D,Flex + IMU,10384,142,104,0,78,78,98,203,34,53,30
D4:72:11:8B:5A:4D,Flex + IMU,10472,141,104,0,78,90,106,212,204,103,0
D4:72:11:8B:5A:4D,Flex + IMU,10480,141,103,0,78,93,99,220,15,135,17
D4:72:11:8B:5A:4D,Flex + IMU,10520,142,104,0,78,100,101,221,253,129,67
D4:72:11:8B:5A:4D,Flex + IMU,10528,141,104,0,78,98,91,219,33,100,83
D4:72:11:8B:5A:4D,Flex + IMU,10568,141,104,0,78,95,96,214,97,36,136
D4:72:11:8B:5A:4D,Flex + IMU,10576,141,104,0,78,89,98,203,121,36,133
D4:72:11:8B:5A:4D,Flex + IMU,10616,141,104,0,78,90,89,213,150,7,108
D4:72:11:8B:5A:4D,Flex + IMU,10624,142,104,0,78,99,93,216,119,31,92
D4:72:11:8B:5A:4D,Flex + IMU,10664,141,104,0,78,90,95,231,214,83,57
D4:72:11:8B:5A:4D,Flex + IMU,10672,141,104,0,78,98,103,231,207,128,52
D4:72:11:8B:5A:4D,Flex + IMU,10712,141,103,0,78,100,125,206,25,57,223
D4:72:11:8B:5A:4D,Flex + IMU,10720,142,103,0,78,103,147,206,25,57,223
D4:72:11:8B:5A:4D,Flex + IMU,10760,142,104,0,78,80,99,206,0,203,104
D4:72:11:8B:5A:4D,Flex + IMU,10768,141,104,0,78,77,92,194,214,124,46
D4:72:11:8B:5A:4D,Flex + IMU,10808,141,104,0,78,59,37,201,187,199,131
D4:72:11:8B:5A:4D,Flex + IMU,10816,142,103,0,78,59,37,201,114,186,191
D4:72:11:8B:5A:4D,Flex + IMU,10856,142,103,0,78,77,29,198,127,129,118
D4:72:11:8B:5A:4D,Flex + IMU,10864,142,103,0,78,77,35,198,98,113,154
D4:72:11:8B:5A:4D,Flex + IMU,10912,142,103,0,78,91,58,205,109,139,239
D4:72:11:8B:5A:4D,Flex + IMU,10920,142,103,0,78,91,58,205,139,144,34
D4:72:11:8B:5A:4D,Flex + IMU,10960,141,103,0,78,96,80,212,204,228,36
D4:72:11:8B:5A:4D,Flex + IMU,10968,142,103,0,78,93,94,221,186,30,21
D4:72:11:8B:5A:4D,Flex + IMU,11056,142,103,0,78,95,94,200,23,207,122
D4:72:11:8B:5A:4D,Flex + IMU,11064,142,103,0,78,91,93,206,66,195,168
D4:72:11:8B:5A:4D,Flex + IMU,11104,141,103,0,78,83,97,206,12,251,222
D4:72:11:8B:5A:4D,Flex + IMU,11112,142,103,0,78,82,113,199,73,186,91
D4:72:11:8B:5A:4D,Flex + IMU,11152,142,103,0,78,83,77,217,148,250,48
D4:72:11:8B:5A:4D,Flex + IMU,11160,142,103,0,78,77,76,217,84,38,201
D4:72:11:8B:5A:4D,Flex + IMU,11200,142,103,0,78,66,2,246,32,11,194
D4:72:11:8B:5A:4D,Flex + IMU,11208,142,103,0,78,76,24,231,14,183,93
D4:72:11:8B:5A:4D,Flex + IMU,11248,142,103,0,78,124,105,123,65,213,254
D4:72:11:8B:5A:4D,Flex + IMU,11256,142,103,0,78,125,97,118,52,213,254
D4:72:11:8B:5A:4D,Flex + IMU,11296,142,103,0,78,87,64,238,46,13,13
D4:72:11:8B:5A:4D,Flex + IMU,11304,141,103,0,78,55,66,225,182,64,130
D4:72:11:8B:5A:4D,Flex + IMU,11344,141,103,0,78,49,59,215,65,227,118
