Device Address,Exercise,Timestamp,Thumb,Index,Middle,Ring,Acc(x),Acc(y),Acc(z),Gyr(x),Gyr(y),Gyr(z)
D4:72:11:8B:5A:4D,Flex + IMU,63168,143,110,0,79,110,157,204,94,160,250
D4:72:11:8B:5A:4D,Flex + IMU,63176,143,110,0,79,122,178,201,194,203,91
D4:72:11:8B:5A:4D,Flex + IMU,63216,143,110,0,79,37,254,2,117,65,101
D4:72:11:8B:5A:4D,Flex + IMU,63224,143,110,0,79,14,238,13,58,79,144
D4:72:11:8B:5A:4D,Flex + IMU,63264,143,110,0,80,222,97,211,199,159,69
D4:72:11:8B:5A:4D,Flex + IMU,63272,143,110,0,80,248,104,214,180,182,74
D4:72:11:8B:5A:4D,Flex + IMU,63312,143,110,0,81,29,49,255,133,78,139
D4:72:11:8B:5A:4D,Flex + IMU,63320,143,110,0,81,26,35,252,227,231,48
D4:72:11:8B:5A:4D,Flex + IMU,63360,144,110,0,82,50,33,242,20,90,39
D4:72:11:8B:5A:4D,Flex + IMU,63368,144,110,0,82,44,22,245,55,164,255
D4:72:11:8B:5A:4D,Flex + IMU,63408,144,110,0,83,20,64,221,180,83,205
D4:72:11:8B:5A:4D,Flex + IMU,63416,144,110,0,83,34,62,214,90,81,179
D4:72:11:8B:5A:4D,Flex + IMU,63464,144,111,0,84,28,56,207,246,150,212
D4:72:11:8B:5A:4D,Flex + IMU,63472,144,111,0,84,34,64,189,49,83,210
D4:72:11:8B:5A:4D,Flex + IMU,63512,144,111,0,85,4,52,163,227,59,62
D4:72:11:8B:5A:4D,Flex + IMU,63520,143,110,0,84,110,48,203,225,218,26
D4:72:11:8B:5A:4D,Flex + IMU,63560,142,89,0,59,56,69,42,205,231,231
D4:72:11:8B:5A:4D,Flex + IMU,63568,142,82,0,53,234,103,217,205,231,231
D4:72:11:8B:5A:4D,Flex + IMU,63608,139,58,0,39,187,246,184,236,113,187
D4:72:11:8B:5A:4D,Flex + IMU,63616,139,57,0,39,62,97,223,203,203,53
D4:72:11:8B:5A:4D,Flex + IMU,63656,135,56,0,39,17,155,60,109,213,140
D4:72:11:8B:5A:4D,Flex + IMU,63664,134,56,0,39,17,155,60,100,8,244
D4:72:11:8B:5A:4D,Flex + IMU,63704,133,56,0,39,90,89,226,95,64,17
D4:72:11:8B:5A:4D,Flex + IMU,63712,133,56,0,39,125,248,231,68,113,8
D4:72:11:8B:5A:4D,Flex + IMU,63752,133,56,0,40,150,1,166,229,144,130
D4:72:11:8B:5A:4D,Flex + IMU,63760,133,56,0,40,201,10,215,16,43,37
D4:72:11:8B:5A:4D,Flex + IMU,63800,133,57,0,41,55,77,140,47,220,164
D4:72:11:8B:5A:4D,Flex + IMU,63808,133,57,0,41,12,25,147,180,195,166
D4:72:11:8B:5A:4D,Flex + IMU,63848,135,59,0,41,136,48,206,141,234,176
D4:72:11:8B:5A:4D,Flex + IMU,63856,135,59,0,42,154,37,209,45,70,37
