Device Address,Exercise,Timestamp,Thumb,Index,Middle,Ring,Acc(x),Acc(y),Acc(z),Gyr(x),Gyr(y),Gyr(z)
EA:EB:C9:B6:1F:5A,Flex + IMU,11896,92,79,0,156,118,83,235,224,181,79
EA:EB:C9:B6:1F:5A,Flex + IMU,11904,92,79,0,156,106,183,208,242,74,79
EA:EB:C9:B6:1F:5A,Flex + IMU,11944,91,79,0,156,45,185,179,225,209,11
EA:EB:C9:B6:1F:5A,Flex + IMU,11952,91,79,0,156,54,178,179,23,27,223
EA:EB:C9:B6:1F:5A,Flex + IMU,12000,91,78,0,156,124,112,109,52,60,126
EA:EB:C9:B6:1F:5A,Flex + IMU,12008,91,78,0,156,150,190,160,47,170,245
EA:EB:C9:B6:1F:5A,Flex + IMU,12048,92,78,0,156,249,212,162,214,3,83
EA:EB:C9:B6:1F:5A,Flex + IMU,12056,92,78,0,156,39,203,186,221,193,53
EA:EB:C9:B6:1F:5A,Flex + IMU,12096,92,78,0,156,123,43,105,110,218,117
EA:EB:C9:B6:1F:5A,Flex + IMU,12104,92,78,0,156,128,40,147,110,218,218
EA:EB:C9:B6:1F:5A,Flex + IMU,12144,92,78,0,156,161,163,202,164,96,236
EA:EB:C9:B6:1F:5A,Flex + IMU,12152,92,78,0,156,139,194,210,229,65,59
EA:EB:C9:B6:1F:5A,Flex + IMU,12192,92,78,0,156,76,255,187,63,90,208
EA:EB:C9:B6:1F:5A,Flex + IMU,12200,92,78,0,156,76,255,195,120,217,179
EA:EB:C9:B6:1F:5A,Flex + IMU,12240,92,78,0,156,137,226,172,58,1,169
EA:EB:C9:B6:1F:5A,Flex + IMU,12248,92,78,0,156,143,239,148,243,130,138
EA:EB:C9:B6:1F:5A,Flex + IMU,12288,92,79,0,156,96,0,176,161,109,197
EA:EB:C9:B6:1F:5A,Flex + IMU,12296,92,79,0,156,102,8,183,144,28,98
EA:EB:C9:B6:1F:5A,Flex + IMU,12336,92,79,0,156,109,93,133,46,70,15
EA:EB:C9:B6:1F:5A,Flex + IMU,12344,92,79,0,156,126,105,130,112,36,107
EA:EB:C9:B6:1F:5A,Flex + IMU,12384,92,79,0,156,78,68,129,101,175,233
EA:EB:C9:B6:1F:5A,Flex + IMU,12392,92,79,0,156,73,105,128,246,61,223
