Device Address,Exercise,Timestamp,Toe,Heel,Middle,Ring,Acc(x),Acc(y),Acc(z),Gyr(x),Gyr(y),Gyr(z)
EA:5A:11:02:8F:90,Flex + IMU,9248,69,71,0,43,9,101,7,28,54,85
EA:5A:11:02:8F:90,Flex + IMU,9256,69,70,0,43,11,99,10,54,56,88
EA:5A:11:02:8F:90,Flex + IMU,9352,66,69,0,43,7,102,16,43,53,110
EA:5A:11:02:8F:90,Flex + IMU,9360,66,69,0,43,13,99,17,46,107,100
EA:5A:11:02:8F:90,Flex + IMU,9400,66,69,0,43,11,105,1,90,73,103
EA:5A:11:02:8F:90,Flex + IMU,9408,66,70,0,43,11,107,4,116,51,117
EA:5A:11:02:8F:90,Flex + IMU,9496,67,71,0,43,12,104,7,104,83,73
EA:5A:11:02:8F:90,Flex + IMU,9504,67,71,0,43,12,104,12,98,96,79
EA:5A:11:02:8F:90,Flex + IMU,9544,67,71,0,43,8,96,9,110,78,81
EA:5A:11:02:8F:90,Flex + IMU,9552,67,71,0,43,12,102,8,96,53,97
EA:5A:11:02:8F:90,Flex + IMU,9640,67,70,0,43,6,105,12,39,152,131
EA:5A:11:02:8F:90,Flex + IMU,9648,67,70,0,43,8,104,7,44,192,123
EA:5A:11:02:8F:90,Flex + IMU,9688,65,70,0,43,14,102,2,76,222,102
EA:5A:11:02:8F:90,Flex + IMU,9696,65,70,0,43,14,102,2,71,175,103
EA:5A:11:02:8F:90,Flex + IMU,9736,66,71,0,43,12,103,11,81,95,122
EA:5A:11:02:8F:90,Flex + IMU,9792,64,70,0,43,10,107,10,135,232,120
EA:5A:11:02:8F:90,Flex + IMU,9800,64,70,0,43,16,105,7,135,232,120
EA:5A:11:02:8F:90,Flex + IMU,9840,64,70,0,43,10,107,2,175,71,137
EA:5A:11:02:8F:90,Flex + IMU,9848,65,70,0,43,13,102,2,202,190,122
EA:5A:11:02:8F:90,Flex + IMU,9888,62,69,0,43,14,101,252,115,130,222
EA:5A:11:02:8F:90,Flex + IMU,9896,62,68,0,43,15,109,246,135,130,222
EA:5A:11:02:8F:90,Flex + IMU,9936,58,65,0,43,84,128,243,127,112,53
EA:5A:11:02:8F:90,Flex + IMU,9944,58,64,0,43,50,11,254,95,206,148
EA:5A:11:02:8F:90,Flex + IMU,9984,56,64,0,43,238,207,41,15,109,175
EA:5A:11:02:8F:90,Flex + IMU,9992,55,63,0,43,81,132,251,6,109,175
EA:5A:11:02:8F:90,Flex + IMU,10032,55,51,0,43,13,240,220,153,230,18
EA:5A:11:02:8F:90,Flex + IMU,10040,54,50,0,43,197,132,92,182,206,206
EA:5A:11:02:8F:90,Flex + IMU,10080,53,51,0,43,74,66,50,107,178,101
EA:5A:11:02:8F:90,Flex + IMU,10088,53,51,0,43,189,232,170,72,129,101
EA:5A:11:02:8F:90,Flex + IMU,10128,52,50,0,43,41,161,243,220,11,175
EA:5A:11:02:8F:90,Flex + IMU,10136,53,50,0,43,238,141,25,93,173,127
EA:5A:11:02:8F:90,Flex + IMU,10176,53,50,0,43,147,72,61,30,105,59
EA:5A:11:02:8F:90,Flex + IMU,10184,52,51,0,43,126,80,62,144,105,59
EA:5A:11:02:8F:90,Flex + IMU,10224,52,51,0,43,208,130,38,40,141,249
EA:5A:11:02:8F:90,Flex + IMU,10232,53,51,0,43,191,166,20,27,201,94
EA:5A:11:02:8F:90,Flex + IMU,10272,53,51,0,43,138,226,226,249,156,60
EA:5A:11:02:8F:90,Flex + IMU,10280,53,51,0,43,186,7,223,41,151,60
EA:5A:11:02:8F:90,Flex + IMU,10320,53,50,0,43,96,15,6,240,78,107
EA:5A:11:02:8F:90,Flex + IMU,10328,54,50,0,43,216,219,9,164,189,109
EA:5A:11:02:8F:90,Flex + IMU,10376,57,62,0,43,140,220,91,246,5,11
EA:5A:11:02:8F:90,Flex + IMU,10384,63,62,0,43,210,65,232,16,120,94
EA:5A:11:02:8F:90,Flex + IMU,10424,71,65,0,43,247,228,112,251,241,168
EA:5A:11:02:8F:90,Flex + IMU,10432,58,61,0,43,65,68,101,137,167,190
EA:5A:11:02:8F:90,Flex + IMU,10472,54,59,0,43,45,164,180,64,35,255
EA:5A:11:02:8F:90,Flex + IMU,10520,54,59,0,43,104,52,95,145,86,144
EA:5A:11:02:8F:90,Flex + IMU,10528,53,60,0,43,51,14,231,212,191,248
EA:5A:11:02:8F:90,Flex + IMU,10616,55,62,0,43,82,157,75,9,17,177
EA:5A:11:02:8F:90,Flex + IMU,10664,54,60,0,43,80,196,149,253,96,213
EA:5A:11:02:8F:90,Flex + IMU,10712,52,51,0,43,45,227,13,242,39,101
EA:5A:11:02:8F:90,Flex + IMU,10720,56,53,0,43,1,29,150,22,113,254
EA:5A:11:02:8F:90,Flex + IMU,10760,57,52,0,43,154,103,218,112,134,242
EA:5A:11:02:8F:90,Flex + IMU,10768,56,53,0,43,167,162,211,191,44,67
EA:5A:11:02:8F:90,Flex + IMU,10808,56,52,0,43,41,144,62,62,158,25
EA:5A:11:02:8F:90,Flex + IMU,10816,56,53,0,43,7,158,1,38,72,111
EA:5A:11:02:8F:90,Flex + IMU,10864,56,53,0,43,172,226,98,63,187,223
EA:5A:11:02:8F:90,Flex + IMU,10872,56,53,0,43,69,255,76,133,87,33
EA:5A:11:02:8F:90,Flex + IMU,10912,57,52,0,43,178,247,21,20,66,38
