Device Address,Exercise,Timestamp,Thumb,Index,Middle,Ring,Acc(x),Acc(y),Acc(z),Gyr(x),Gyr(y),Gyr(z)
FF:13:4E:9E:DF:2A,Flex + IMU,40993,154,2,0,2,215,142,92,83,230,216
FF:13:4E:9E:DF:2A,Flex + IMU,41001,154,2,0,2,215,142,92,88,244,212
FF:13:4E:9E:DF:2A,Flex + IMU,41009,154,2,0,2,215,142,91,88,244,208
FF:13:4E:9E:DF:2A,Flex + IMU,41017,154,2,0,2,211,140,90,97,252,208
FF:13:4E:9E:DF:2A,Flex + IMU,41025,154,2,0,2,214,142,86,95,0,200
FF:13:4E:9E:DF:2A,Flex + IMU,41033,154,2,0,2,212,142,89,82,222,209
FF:13:4E:9E:DF:2A,Flex + IMU,41041,154,2,0,1,212,141,95,87,208,209
FF:13:4E:9E:DF:2A,Flex + IMU,41057,154,2,0,2,216,147,92,78,232,208
FF:13:4E:9E:DF:2A,Flex + IMU,41105,154,2,0,2,214,145,86,102,247,202
FF:13:4E:9E:DF:2A,Flex + IMU,41153,154,2,0,2,211,142,93,81,218,205
FF:13:4E:9E:DF:2A,Flex + IMU,41161,154,2,0,2,217,142,89,71,224,206
FF:13:4E:9E:DF:2A,Flex + IMU,41201,154,2,0,2,210,147,91,66,218,207
FF:13:4E:9E:DF:2A,Flex + IMU,41209,154,2,0,2,209,138,92,66,228,200
FF:13:4E:9E:DF:2A,Flex + IMU,41249,154,2,0,2,212,144,93,75,242,206
FF:13:4E:9E:DF:2A,Flex + IMU,41257,154,2,0,2,213,141,88,91,232,204
FF:13:4E:9E:DF:2A,Flex + IMU,41297,154,2,0,2,213,146,90,69,229,199
FF:13:4E:9E:DF:2A,Flex + IMU,41305,154,2,0,2,213,146,90,87,240,199
FF:13:4E:9E:DF:2A,Flex + IMU,41345,154,2,0,2,209,141,90,102,223,207
FF:13:4E:9E:DF:2A,Flex + IMU,41353,154,2,0,2,210,143,94,92,200,204
FF:13:4E:9E:DF:2A,Flex + IMU,41393,154,2,0,2,208,146,88,96,239,207
FF:13:4E:9E:DF:2A,Flex + IMU,41401,154,2,0,2,208,146,88,75,239,206
FF:13:4E:9E:DF:2A,Flex + IMU,41441,154,2,0,2,210,144,95,88,205,205
FF:13:4E:9E:DF:2A,Flex + IMU,41497,154,2,0,2,212,144,94,89,219,195
FF:13:4E:9E:DF:2A,Flex + IMU,41505,154,2,0,2,212,144,94,84,223,199
FF:13:4E:9E:DF:2A,Flex + IMU,41545,154,2,0,2,209,141,90,81,243,205
