Device Address,Exercise,Timestamp,Thumb,Index,Middle,Ring,Acc(x),Acc(y),Acc(z),Gyr(x),Gyr(y),Gyr(z)
EA:5A:11:02:8F:90,Flex + IMU,3632,5,1,0,43,17,117,239,12,122,77
EA:5A:11:02:8F:90,Flex + IMU,3640,5,1,0,43,19,117,245,0,122,77
EA:5A:11:02:8F:90,Flex + IMU,3680,4,2,0,42,20,120,237,248,128,79
EA:5A:11:02:8F:90,Flex + IMU,3688,4,2,0,42,22,121,233,234,112,87
EA:5A:11:02:8F:90,Flex + IMU,3728,2,2,0,42,20,124,239,252,124,76
EA:5A:11:02:8F:90,Flex + IMU,3736,2,2,0,42,19,117,239,254,112,76
EA:5A:11:02:8F:90,Flex + IMU,3776,4,2,0,42,15,116,234,253,113,69
EA:5A:11:02:8F:90,Flex + IMU,3784,3,2,0,42,16,121,239,9,117,71
EA:5A:11:02:8F:90,Flex + IMU,3872,5,1,0,43,16,119,236,239,131,91
EA:5A:11:02:8F:90,Flex + IMU,3880,4,1,0,42,14,120,236,0,117,63
EA:5A:11:02:8F:90,Flex + IMU,3968,4,1,0,42,19,119,237,28,115,71
EA:5A:11:02:8F:90,Flex + IMU,3976,6,1,0,43,18,117,237,6,127,75
EA:5A:11:02:8F:90,Flex + IMU,4064,3,1,0,42,19,123,235,254,106,67
EA:5A:11:02:8F:90,Flex + IMU,4072,3,2,0,42,17,120,235,8,116,73
EA:5A:11:02:8F:90,Flex + IMU,4120,4,2,0,43,17,120,238,254,108,70
EA:5A:11:02:8F:90,Flex + IMU,4128,4,2,0,43,20,118,243,8,125,71
EA:5A:11:02:8F:90,Flex + IMU,4168,3,3,0,42,19,120,242,19,122,87
EA:5A:11:02:8F:90,Flex + IMU,4176,3,3,0,42,25,123,237,15,125,80
EA:5A:11:02:8F:90,Flex + IMU,4216,3,1,0,42,17,117,236,12,125,66
EA:5A:11:02:8F:90,Flex + IMU,4224,3,1,0,42,18,117,236,6,117,72
EA:5A:11:02:8F:90,Flex + IMU,4264,3,1,0,42,16,117,237,1,127,73
EA:5A:11:02:8F:90,Flex + IMU,4272,4,1,0,42,20,118,235,254,128,77
EA:5A:11:02:8F:90,Flex + IMU,4360,9,1,0,43,18,122,240,254,113,69
EA:5A:11:02:8F:90,Flex + IMU,4368,2,1,0,42,21,121,235,12,124,72
EA:5A:11:02:8F:90,Flex + IMU,4408,2,1,0,42,19,117,234,5,99,84
EA:5A:11:02:8F:90,Flex + IMU,4456,2,1,0,42,20,124,239,255,117,69
EA:5A:11:02:8F:90,Flex + IMU,4464,2,1,0,42,20,119,242,250,102,70
EA:5A:11:02:8F:90,Flex + IMU,4504,2,1,0,42,14,118,234,254,137,66
EA:5A:11:02:8F:90,Flex + IMU,4512,2,1,0,42,18,118,234,14,115,70
EA:5A:11:02:8F:90,Flex + IMU,4552,2,1,0,42,24,121,236,253,115,77
EA:5A:11:02:8F:90,Flex + IMU,4560,1,1,0,42,13,116,236,238,119,76
EA:5A:11:02:8F:90,Flex + IMU,4600,2,1,0,42,20,119,239,18,113,66
EA:5A:11:02:8F:90,Flex + IMU,4608,2,1,0,42,17,118,236,16,131,85
EA:5A:11:02:8F:90,Flex + IMU,4656,1,1,0,42,16,120,237,254,106,84
EA:5A:11:02:8F:90,Flex + IMU,4664,1,1,0,42,16,120,237,21,118,56
EA:5A:11:02:8F:90,Flex + IMU,4704,1,1,0,42,16,120,235,19,118,73
EA:5A:11:02:8F:90,Flex + IMU,4712,1,1,0,42,19,123,238,4,107,60
EA:5A:11:02:8F:90,Flex + IMU,4752,1,1,0,42,15,115,236,16,130,53
EA:5A:11:02:8F:90,Flex + IMU,4760,1,1,0,42,15,115,236,5,115,66
EA:5A:11:02:8F:90,Flex + IMU,4800,1,1,0,42,17,119,235,15,114,79
EA:5A:11:02:8F:90,Flex + IMU,4808,1,1,0,42,16,121,236,11,114,63
EA:5A:11:02:8F:90,Flex + IMU,4896,2,1,0,42,18,120,238,8,112,71
EA:5A:11:02:8F:90,Flex + IMU,4904,4,1,0,43,15,123,237,17,120,71
EA:5A:11:02:8F:90,Flex + IMU,4944,1,1,0,42,19,120,236,0,127,58
EA:5A:11:02:8F:90,Flex + IMU,4992,1,1,0,42,22,120,238,16,125,70
EA:5A:11:02:8F:90,Flex + IMU,5000,3,1,0,42,27,119,233,9,109,59
EA:5A:11:02:8F:90,Flex + IMU,5040,3,1,0,42,19,119,240,15,123,68
EA:5A:11:02:8F:90,Flex + IMU,5048,2,1,0,42,22,120,240,15,123,72
EA:5A:11:02:8F:90,Flex + IMU,5088,1,1,0,42,16,120,241,6,118,75
EA:5A:11:02:8F:90,Flex + IMU,5096,1,1,0,42,19,119,239,240,133,91
EA:5A:11:02:8F:90,Flex + IMU,5144,1,1,0,42,22,118,237,5,122,60
EA:5A:11:02:8F:90,Flex + IMU,5152,1,1,0,42,20,119,242,20,93,60
EA:5A:11:02:8F:90,Flex + IMU,5192,2,1,0,42,16,120,235,254,110,64
EA:5A:11:02:8F:90,Flex + IMU,5200,3,1,0,42,18,119,233,248,121,68
EA:5A:11:02:8F:90,Flex + IMU,5288,5,1,0,43,20,119,239,248,115,64
EA:5A:11:02:8F:90,Flex + IMU,5296,5,1,0,43,19,121,237,3,99,66
EA:5A:11:02:8F:90,Flex + IMU,5336,4,1,0,42,21,122,235,29,130,56
EA:5A:11:02:8F:90,Flex + IMU,5344,3,1,0,42,17,118,239,6,121,76
EA:5A:11:02:8F:90,Flex + IMU,5384,2,1,0,42,20,117,235,13,96,71
EA:5A:11:02:8F:90,Flex + IMU,5392,2,1,0,42,24,116,236,14,121,65
EA:5A:11:02:8F:90,Flex + IMU,5432,3,1,0,42,20,120,236,20,152,68
EA:5A:11:02:8F:90,Flex + IMU,5440,3,1,0,42,20,122,236,27,132,79
EA:5A:11:02:8F:90,Flex + IMU,5480,2,1,0,42,17,116,235,9,114,57
EA:5A:11:02:8F:90,Flex + IMU,5488,3,1,0,42,16,119,234,19,114,64
EA:5A:11:02:8F:90,Flex + IMU,5528,1,1,0,43,21,120,234,0,122,68
EA:5A:11:02:8F:90,Flex + IMU,5536,2,1,0,42,16,124,239,252,127,78
EA:5A:11:02:8F:90,Flex + IMU,5576,5,1,0,43,19,118,237,247,100,64
EA:5A:11:02:8F:90,Flex + IMU,5584,4,1,0,43,20,121,238,7,111,70
EA:5A:11:02:8F:90,Flex + IMU,5624,5,1,0,42,19,118,240,9,119,64
EA:5A:11:02:8F:90,Flex + IMU,5632,5,1,0,42,22,118,236,4,113,77
EA:5A:11:02:8F:90,Flex + IMU,5680,4,1,0,42,24,119,235,3,123,58
EA:5A:11:02:8F:90,Flex + IMU,5688,4,1,0,42,20,117,235,254,129,73
EA:5A:11:02:8F:90,Flex + IMU,5728,3,1,0,42,21,121,238,2,123,75
EA:5A:11:02:8F:90,Flex + IMU,5776,3,1,0,42,17,119,237,36,103,53
EA:5A:11:02:8F:90,Flex + IMU,5784,3,1,0,42,27,123,234,24,136,55
EA:5A:11:02:8F:90,Flex + IMU,5824,4,1,0,42,24,118,236,18,111,72
EA:5A:11:02:8F:90,Flex + IMU,5832,4,1,0,42,20,117,239,2,102,66
EA:5A:11:02:8F:90,Flex + IMU,5872,7,1,0,43,13,119,241,255,123,76
EA:5A:11:02:8F:90,Flex + IMU,5880,4,1,0,42,23,123,239,254,108,60
EA:5A:11:02:8F:90,Flex + IMU,5920,3,1,0,42,18,119,229,17,134,58
EA:5A:11:02:8F:90,Flex + IMU,5928,4,1,0,42,17,120,235,25,120,60
EA:5A:11:02:8F:90,Flex + IMU,6016,5,1,0,43,17,119,239,8,111,58
EA:5A:11:02:8F:90,Flex + IMU,6024,5,1,0,43,20,121,238,11,133,54
EA:5A:11:02:8F:90,Flex + IMU,6064,5,1,0,43,24,121,236,7,110,66
EA:5A:11:02:8F:90,Flex + IMU,6072,5,1,0,42,18,117,234,29,108,69
EA:5A:11:02:8F:90,Flex + IMU,6112,5,1,0,43,21,117,236,21,131,59
EA:5A:11:02:8F:90,Flex + IMU,6120,5,1,0,43,20,119,237,0,110,63
EA:5A:11:02:8F:90,Flex + IMU,6168,3,1,0,42,22,122,237,19,127,65
