Device Address,Exercise,Timestamp,Thumb,Index,Middle,Ring,Acc(x),Acc(y),Acc(z),Gyr(x),Gyr(y),Gyr(z)
EA:5A:11:02:8F:90,Flex + IMU,13976,4,18,0,42,12,109,7,0,94,69
EA:5A:11:02:8F:90,Flex + IMU,13984,4,6,0,42,17,109,4,255,120,67
EA:5A:11:02:8F:90,Flex + IMU,14024,4,7,0,42,19,111,255,17,104,77
EA:5A:11:02:8F:90,Flex + IMU,14032,4,7,0,42,19,111,4,8,111,80
EA:5A:11:02:8F:90,Flex + IMU,14072,4,7,0,42,9,110,4,9,124,60
EA:5A:11:02:8F:90,Flex + IMU,14080,4,8,0,42,11,113,2,255,106,60
EA:5A:11:02:8F:90,Flex + IMU,14120,3,8,0,42,14,117,6,1,99,85
EA:5A:11:02:8F:90,Flex + IMU,14128,3,8,0,42,14,117,6,14,111,70
EA:5A:11:02:8F:90,Flex + IMU,14168,4,11,0,42,15,110,254,3,109,73
EA:5A:11:02:8F:90,Flex + IMU,14176,4,10,0,42,14,110,2,15,107,87
EA:5A:11:02:8F:90,Flex + IMU,14216,3,8,0,42,15,112,5,16,114,70
EA:5A:11:02:8F:90,Flex + IMU,14224,3,21,0,42,15,112,5,8,118,84
EA:5A:11:02:8F:90,Flex + IMU,14264,3,22,0,43,12,113,5,15,125,80
EA:5A:11:02:8F:90,Flex + IMU,14272,3,23,0,42,14,114,1,5,117,74
EA:5A:11:02:8F:90,Flex + IMU,14312,3,22,0,42,10,109,3,3,111,68
EA:5A:11:02:8F:90,Flex + IMU,14368,4,21,0,42,14,108,4,7,115,76
EA:5A:11:02:8F:90,Flex + IMU,14376,4,22,0,42,11,113,3,2,129,77
EA:5A:11:02:8F:90,Flex + IMU,14416,3,21,0,42,14,112,2,253,102,78
EA:5A:11:02:8F:90,Flex + IMU,14424,3,21,0,42,11,108,1,5,102,78
EA:5A:11:02:8F:90,Flex + IMU,14464,4,21,0,42,13,112,255,3,88,71
EA:5A:11:02:8F:90,Flex + IMU,14472,4,21,0,42,16,111,3,3,101,83
EA:5A:11:02:8F:90,Flex + IMU,14512,3,21,0,42,10,112,2,2,109,81
EA:5A:11:02:8F:90,Flex + IMU,14520,3,21,0,42,15,113,1,245,124,81
EA:5A:11:02:8F:90,Flex + IMU,14560,3,21,0,42,13,113,1,8,102,86
EA:5A:11:02:8F:90,Flex + IMU,14568,3,20,0,42,16,114,3,7,103,72
EA:5A:11:02:8F:90,Flex + IMU,14608,4,21,0,42,12,113,0,252,107,66
EA:5A:11:02:8F:90,Flex + IMU,14616,4,21,0,42,14,114,3,1,113,66
EA:5A:11:02:8F:90,Flex + IMU,14704,4,7,0,42,15,110,1,5,133,88
EA:5A:11:02:8F:90,Flex + IMU,14712,4,7,0,42,13,111,6,16,82,90
EA:5A:11:02:8F:90,Flex + IMU,14752,4,7,0,42,14,112,255,251,110,64
EA:5A:11:02:8F:90,Flex + IMU,14760,4,11,0,42,12,111,254,250,138,61
EA:5A:11:02:8F:90,Flex + IMU,14800,4,12,0,43,12,114,4,2,90,73
EA:5A:11:02:8F:90,Flex + IMU,14808,4,11,0,42,13,115,1,11,117,73
EA:5A:11:02:8F:90,Flex + IMU,14848,4,12,0,43,13,115,7,10,111,82
EA:5A:11:02:8F:90,Flex + IMU,14856,4,12,0,42,11,109,7,9,101,79
EA:5A:11:02:8F:90,Flex + IMU,14896,4,11,0,42,6,111,6,9,103,65
EA:5A:11:02:8F:90,Flex + IMU,14904,4,11,0,42,12,108,2,2,100,71
EA:5A:11:02:8F:90,Flex + IMU,14952,4,11,0,42,15,109,3,4,98,76
EA:5A:11:02:8F:90,Flex + IMU,14960,4,11,0,42,13,113,4,238,108,63
EA:5A:11:02:8F:90,Flex + IMU,15000,4,11,0,42,9,118,4,4,109,69
EA:5A:11:02:8F:90,Flex + IMU,15008,4,11,0,43,15,112,0,16,121,64
EA:5A:11:02:8F:90,Flex + IMU,15048,3,11,0,42,14,113,3,255,115,83
EA:5A:11:02:8F:90,Flex + IMU,15056,3,13,0,42,11,113,3,26,102,67
EA:5A:11:02:8F:90,Flex + IMU,15096,4,11,0,42,12,111,4,251,117,73
EA:5A:11:02:8F:90,Flex + IMU,15104,4,12,0,42,17,112,2,252,121,62
EA:5A:11:02:8F:90,Flex + IMU,15144,3,11,0,42,12,112,2,3,107,77
EA:5A:11:02:8F:90,Flex + IMU,15152,3,11,0,42,11,116,5,17,96,87
EA:5A:11:02:8F:90,Flex + IMU,15192,3,11,0,42,14,114,254,28,109,51
EA:5A:11:02:8F:90,Flex + IMU,15200,3,11,0,42,17,114,1,11,116,67
EA:5A:11:02:8F:90,Flex + IMU,15240,3,20,0,42,11,112,2,8,124,72
