Device Address,Exercise,Timestamp,Thumb,Index,Middle,Ring,Acc(x),Acc(y),Acc(z),Gyr(x),Gyr(y),Gyr(z)
FF:13:4E:9E:DF:2A,Flex + IMU,62697,170,130,0,2,23,43,81,103,67,179
FF:13:4E:9E:DF:2A,Flex + IMU,62705,171,130,0,2,24,42,80,97,72,179
FF:13:4E:9E:DF:2A,Flex + IMU,62745,171,129,0,2,27,45,82,108,22,197
FF:13:4E:9E:DF:2A,Flex + IMU,62753,171,130,0,2,26,44,80,83,23,202
FF:13:4E:9E:DF:2A,Flex + IMU,62793,171,131,0,2,28,46,80,91,21,198
FF:13:4E:9E:DF:2A,Flex + IMU,62801,171,131,0,2,29,42,77,83,21,198
FF:13:4E:9E:DF:2A,Flex + IMU,62841,170,130,0,2,25,42,80,105,36,188
FF:13:4E:9E:DF:2A,Flex + IMU,62849,170,131,0,2,27,42,80,104,34,194
FF:13:4E:9E:DF:2A,Flex + IMU,62889,170,130,0,2,29,39,75,101,5,213
FF:13:4E:9E:DF:2A,Flex + IMU,62897,170,132,0,2,23,40,78,101,5,217
FF:13:4E:9E:DF:2A,Flex + IMU,62937,171,131,0,2,28,44,84,104,0,192
FF:13:4E:9E:DF:2A,Flex + IMU,62945,170,131,0,2,27,42,78,94,37,182
FF:13:4E:9E:DF:2A,Flex + IMU,62985,171,131,0,2,27,44,80,99,252,192
FF:13:4E:9E:DF:2A,Flex + IMU,62993,171,131,0,2,27,44,80,85,218,185
FF:13:4E:9E:DF:2A,Flex + IMU,63033,171,131,0,2,32,42,78,100,142,189
FF:13:4E:9E:DF:2A,Flex + IMU,63041,172,132,0,2,26,42,82,90,137,188
FF:13:4E:9E:DF:2A,Flex + IMU,63081,172,130,0,2,27,46,78,87,180,250
FF:13:4E:9E:DF:2A,Flex + IMU,63089,172,130,0,2,27,46,78,94,164,241
FF:13:4E:9E:DF:2A,Flex + IMU,63129,172,131,0,1,33,45,78,81,134,244
FF:13:4E:9E:DF:2A,Flex + IMU,63137,172,132,0,2,29,45,81,81,115,247
FF:13:4E:9E:DF:2A,Flex + IMU,63177,172,133,0,2,26,43,81,74,141,218
FF:13:4E:9E:DF:2A,Flex + IMU,63185,172,132,0,2,24,41,83,76,137,209
FF:13:4E:9E:DF:2A,Flex + IMU,63233,173,132,0,2,29,41,83,94,124,211
FF:13:4E:9E:DF:2A,Flex + IMU,63241,173,132,0,2,27,45,87,91,100,200
FF:13:4E:9E:DF:2A,Flex + IMU,63281,174,133,0,2,24,44,84,76,215,215
FF:13:4E:9E:DF:2A,Flex + IMU,63289,174,132,0,2,24,44,88,88,209,218
FF:13:4E:9E:DF:2A,Flex + IMU,63329,174,130,0,2,31,50,84,100,50,208
FF:13:4E:9E:DF:2A,Flex + IMU,63337,174,131,0,2,27,44,82,113,22,217
FF:13:4E:9E:DF:2A,Flex + IMU,63377,174,127,0,2,23,42,80,134,38,215
