Device Address,Exercise,Timestamp,Thumb,Index,Middle,Ring,Acc(x),Acc(y),Acc(z),Gyr(x),Gyr(y),Gyr(z)
EA:5A:11:02:8F:90,Flex + IMU,34696,32,6,0,43,31,87,134,42,99,91
EA:5A:11:02:8F:90,Flex + IMU,34704,32,6,0,43,25,84,139,59,96,94
EA:5A:11:02:8F:90,Flex + IMU,34744,32,6,0,43,30,87,134,25,127,94
EA:5A:11:02:8F:90,Flex + IMU,34752,32,6,0,43,29,85,135,25,116,77
EA:5A:11:02:8F:90,Flex + IMU,34792,32,6,0,42,30,87,134,44,119,88
EA:5A:11:02:8F:90,Flex + IMU,34800,32,6,0,42,30,86,136,34,100,82
EA:5A:11:02:8F:90,Flex + IMU,34840,32,6,0,42,31,84,128,27,113,69
EA:5A:11:02:8F:90,Flex + IMU,34848,32,6,0,42,32,83,134,57,118,89
EA:5A:11:02:8F:90,Flex + IMU,34896,32,6,0,42,29,87,139,44,110,100
EA:5A:11:02:8F:90,Flex + IMU,34904,32,6,0,42,32,85,133,34,106,69
EA:5A:11:02:8F:90,Flex + IMU,34944,32,6,0,42,26,89,137,33,122,79
EA:5A:11:02:8F:90,Flex + IMU,34992,32,6,0,42,27,88,129,44,114,99
EA:5A:11:02:8F:90,Flex + IMU,35000,32,6,0,43,27,87,135,29,87,82
EA:5A:11:02:8F:90,Flex + IMU,35040,32,6,0,43,31,84,137,32,119,90
EA:5A:11:02:8F:90,Flex + IMU,35048,32,6,0,42,33,89,137,51,120,84
EA:5A:11:02:8F:90,Flex + IMU,35088,32,6,0,42,32,86,136,32,112,69
EA:5A:11:02:8F:90,Flex + IMU,35096,32,6,0,42,30,84,131,45,105,77
EA:5A:11:02:8F:90,Flex + IMU,35136,32,6,0,42,26,87,134,35,105,71
EA:5A:11:02:8F:90,Flex + IMU,35144,32,6,0,42,35,87,133,51,111,77
EA:5A:11:02:8F:90,Flex + IMU,35184,32,6,0,42,28,90,138,44,106,80
EA:5A:11:02:8F:90,Flex + IMU,35192,32,6,0,42,27,86,132,41,126,79
EA:5A:11:02:8F:90,Flex + IMU,35232,32,6,0,42,33,83,137,25,96,83
EA:5A:11:02:8F:90,Flex + IMU,35240,32,6,0,42,29,92,135,26,116,81
EA:5A:11:02:8F:90,Flex + IMU,35280,32,6,0,43,28,91,135,45,114,82
EA:5A:11:02:8F:90,Flex + IMU,35288,32,6,0,42,30,87,131,25,98,90
EA:5A:11:02:8F:90,Flex + IMU,35328,32,6,0,42,28,89,135,34,110,94
EA:5A:11:02:8F:90,Flex + IMU,35336,32,6,0,42,33,85,139,35,109,74
EA:5A:11:02:8F:90,Flex + IMU,35376,32,6,0,42,28,83,134,15,113,79
EA:5A:11:02:8F:90,Flex + IMU,35384,32,6,0,42,26,86,129,32,93,74
EA:5A:11:02:8F:90,Flex + IMU,35432,32,6,0,42,31,86,136,40,102,79
EA:5A:11:02:8F:90,Flex + IMU,35440,32,6,0,42,26,86,136,40,112,69
EA:5A:11:02:8F:90,Flex + IMU,35480,32,6,0,43,28,86,135,39,98,65
EA:5A:11:02:8F:90,Flex + IMU,35488,32,6,0,42,34,87,136,49,119,73
EA:5A:11:02:8F:90,Flex + IMU,35528,32,6,0,43,29,90,136,27,122,84
EA:5A:11:02:8F:90,Flex + IMU,35536,32,6,0,43,31,88,136,27,96,88
EA:5A:11:02:8F:90,Flex + IMU,35576,32,6,0,43,26,92,136,28,108,73
EA:5A:11:02:8F:90,Flex + IMU,35584,32,6,0,42,29,88,134,38,108,82
